# Dados de calibração do laboratório nuclear.
# Fonte: AME2020 (energias de ligação) e NUBASE2020 (meias-vidas), valores arredondados,
# transcritos de memória por falta de acesso à rede aos bancos originais -> conferir antes de uso sério.
# tipo: BA = energia de ligação por núcleon (MeV); QA = valor Q do decaimento alfa (MeV);
#       SF = log10 da meia-vida parcial de fissão espontânea (s)
tipo,Z,N,valor
BA,6,6,7.6801
BA,8,8,7.9762
BA,10,10,8.0322
BA,12,12,8.2606
BA,14,14,8.4477
BA,16,16,8.4931
BA,20,20,8.5513
BA,20,28,8.6667
BA,22,26,8.7230
BA,24,28,8.7760
BA,26,30,8.7903
BA,28,30,8.7321
BA,28,34,8.7945
BA,30,34,8.7359
BA,32,42,8.7252
BA,36,48,8.7173
BA,38,50,8.7326
BA,40,50,8.7100
BA,42,56,8.6351
BA,50,70,8.5045
BA,50,82,8.3549
BA,54,78,8.4276
BA,56,82,8.3935
BA,58,82,8.3764
BA,60,82,8.3460
BA,62,90,8.2440
BA,64,94,8.2019
BA,68,98,8.1420
BA,70,104,8.0841
BA,74,110,8.0051
BA,78,116,7.9360
BA,79,118,7.9157
BA,80,122,7.8969
BA,82,126,7.8675
BA,83,126,7.8480
BA,88,138,7.6620
BA,90,142,7.6153
BA,92,143,7.5909
BA,92,146,7.5701
QA,84,126,5.407
QA,84,128,8.954
QA,86,136,5.590
QA,88,138,4.871
QA,90,142,4.082
QA,92,142,4.858
QA,92,146,4.270
QA,94,145,5.245
QA,94,146,5.256
QA,96,148,5.902
QA,98,154,6.217
QA,100,154,7.308
QA,100,156,7.027
QA,102,152,8.226
QA,114,175,9.95
QA,118,176,11.82
SF,90,142,28.6
SF,92,146,23.4
SF,94,146,18.6
SF,96,148,14.6
SF,98,154,9.43
SF,100,156,3.98
SF,100,158,-3.43
SF,104,156,-1.68
