cenario,catalise,bioquimica,tempo_apos_formacao_gyr,tempo_cosmico_gyr,temperatura_k
Rapido,fixa,Carbono/agua,0.421342,5.49321,320.739
Rapido,fixa,Carbono/agua,0.420467,6.09857,333.443
Rapido,fixa,Carbono/agua,1.63251,10.4146,295.603
Rapido,fixa,Carbono/agua,0.53871,3.86321,330.655
Rapido,fixa,Carbono/agua,0.954583,7.7367,302.271
Rapido,fixa,Carbono/agua,0.616902,7.29426,314.548
Rapido,fixa,Carbono/agua,0.596835,12.6947,300.854
Rapido,fixa,Carbono/agua,0.516739,9.25005,321.172
Rapido,fixa,Carbono/agua,0.341107,12.6752,340.243
Rapido,fixa,Carbono/agua,1.01079,8.71725,300.501
Rapido,fixa,Carbono/agua,0.576242,6.2411,311.669
Rapido,fixa,Carbono/agua,0.344596,10.4721,345.59
Rapido,fixa,Carbono/agua,0.337615,1.04315,352.919
Rapido,fixa,Carbono/agua,0.467734,5.00859,316.899
Rapido,fixa,Carbono/agua,0.391027,9.09358,304.696
Rapido,fixa,Carbono/agua,0.432654,6.9656,342.213
Rapido,fixa,Carbono/agua,17.5305,25.1161,290.713
Rapido,fixa,Carbono/agua,0.447014,3.99878,322.526
Rapido,fixa,Carbono/agua,0.413409,9.70732,323.724
Rapido,fixa,Carbono/agua,1.154,4.94348,297.59
Rapido,fixa,Carbono/agua,10.665,16.2175,285.414
Rapido,fixa,Carbono/agua,0.965645,8.98316,297.069
Rapido,fixa,Carbono/agua,1.25521,3.60725,311.049
Rapido,fixa,Carbono/agua,2.95996,8.52915,285.357
Rapido,fixa,Carbono/agua,9.41375,18.3357,277.81
Rapido,fixa,Carbono/agua,5.0299,7.51768,280.985
Rapido,fixa,Carbono/agua,2.38475,7.83543,305.531
Rapido,fixa,Carbono/agua,8.72743,17.5959,282.601
Rapido,fixa,Carbono/agua,1.37706,3.67121,298.773
Rapido,fixa,Carbono/agua,5.54929,13.6094,284.082
Rapido,fixa,Carbono/agua,0.388729,4.03781,341.562
Rapido,fixa,Carbono/agua,2.50077,4.63097,297.185
Rapido,fixa,Carbono/agua,12.8315,24.6782,294.895
Rapido,fixa,Carbono/agua,2.21286,6.22412,291.205
Rapido,fixa,Carbono/agua,1.80812,7.75632,289.628
Rapido,fixa,Carbono/agua,0.331842,4.87368,344.6
Rapido,fixa,Carbono/agua,1.02207,8.70847,315.081
Rapido,fixa,Carbono/agua,1.12389,7.96329,298.19
Rapido,fixa,Carbono/agua,10.3583,14.8077,288.045
Rapido,fixa,Carbono/agua,2.09076,6.2251,310.678
Rapido,fixa,Carbono/agua,0.345215,8.59918,341.228
Rapido,fixa,Carbono/agua,3.59196,13.0008,291.637
Rapido,fixa,Carbono/agua,0.554394,11.1449,307.494
Rapido,fixa,Carbono/agua,6.33815,11.5795,278.457
Rapido,fixa,Carbono/agua,1.54318,3.52465,290.672
Rapido,fixa,Carbono/agua,0.484501,5.30861,330.481
Rapido,fixa,Carbono/agua,1.51012,10.7836,307.704
Rapido,fixa,Carbono/agua,5.69056,8.04744,283.25
Rapido,fixa,Carbono/agua,1.44632,7.05769,287.582
Rapido,fixa,Carbono/agua,0.662366,5.50087,296.592
Rapido,fixa,Carbono/agua,0.482794,8.2614,336.961
Rapido,fixa,Carbono/agua,0.367183,3.48372,341.919
Rapido,fixa,Carbono/agua,1.29803,8.95432,308.694
Rapido,fixa,Carbono/agua,0.459903,12.581,314.086
Rapido,fixa,Carbono/agua,0.359706,11.9408,347.077
Rapido,fixa,Carbono/agua,1.30252,11.7545,303.563
Rapido,fixa,Carbono/agua,0.340822,4.80139,349.868
Rapido,fixa,Carbono/agua,1.94253,6.53779,296.921
Rapido,fixa,Carbono/agua,0.346386,7.51634,340.074
Rapido,fixa,Carbono/agua,0.356404,9.46703,331.974
Rapido,fixa,Carbono/agua,5.99505,15.0729,289.617
Rapido,fixa,Carbono/agua,0.720966,8.28935,314.273
