rodada,ano,civilizacao,cultura,classe,score,primeira_do_universo,por_contato
0,0,0,Empiristas,"nenhuma lei",0.505516,1,0
0,0,1,Incrementalistas,"nenhuma lei",0.483973,0,0
0,0,2,Evolucionistas,"nenhuma lei",0.503774,0,0
0,0,3,Isolados,"nenhuma lei",0.572926,0,0
0,0,3,Isolados,"Lei-B",0.648609,1,0
0,2,3,Isolados,"Lei-C",0.578038,1,0
0,3,0,Empiristas,"Lei-A",0.675564,1,0
0,3,2,Evolucionistas,"Lei-C",0.727313,0,0
0,8,0,Empiristas,"Lei-B",0.691125,0,0
0,8,0,Empiristas,"Lei-C",0.737501,0,0
0,8,1,Incrementalistas,"Lei-C",0.727313,0,1
0,10,2,Evolucionistas,"Lei-A",0.766689,0,1
0,12,1,Incrementalistas,"Lei-A",0.766689,0,1
0,19,3,Isolados,"Lei-A",0.62513,0,0
0,21,1,Incrementalistas,"Lei-B",0.691125,0,1
0,26,3,Isolados,"Lei-D",0.699756,1,0
0,29,2,Evolucionistas,"Lei-B",0.691125,0,1
0,31,2,Evolucionistas,"Lei-D",0.658315,0,0
0,32,0,Empiristas,"Lei-A+Lei-C",0.783052,1,0
0,35,2,Evolucionistas,"Lei-B+Lei-C",0.896439,1,0
0,36,3,Isolados,"Lei-B+Lei-C",0.733011,0,0
0,41,2,Evolucionistas,"Lei-A+Lei-C",0.771779,0,0
0,42,0,Empiristas,"Lei-D",0.605184,0,0
0,46,0,Empiristas,"Lei-B+Lei-C",0.78995,0,0
0,49,1,Incrementalistas,"Lei-B+Lei-C",0.896439,0,1
0,49,1,Incrementalistas,"Lei-A+Lei-C",0.771779,0,1
0,51,1,Incrementalistas,"Lei-D",0.605184,0,1
0,59,3,Isolados,"Lei-A+Lei-C",0.744117,0,0
0,63,3,Isolados,"Lei-A+Lei-C+Lei-D",0.854025,1,0
0,70,3,Isolados,"Lei-C",0.632147,0,0
0,70,3,Isolados,"Lei-B+Lei-C",0.786585,0,0
0,74,3,Isolados,"Lei-A",0.687847,0,0
0,82,1,Incrementalistas,"Lei-A+Lei-D",0.713428,1,0
0,102,0,Empiristas,"Lei-A+Lei-D",0.713428,0,1
0,109,3,Isolados,"Lei-C+Lei-D",0.817487,1,0
0,109,2,Evolucionistas,"Lei-A+Lei-D",0.74334,0,1
0,122,3,Isolados,"Lei-A+Lei-C+Lei-D",0.902948,0,0
0,132,3,Isolados,"Lei-A+Lei-D",0.761436,0,0
0,144,2,Evolucionistas,"Lei-A+Lei-C+Lei-D",0.903136,0,0
0,151,2,Evolucionistas,"Lei-C+Lei-D",0.833843,0,0
0,157,0,Empiristas,"Lei-C+Lei-D",0.732223,0,0
0,166,0,Empiristas,"Lei-A+Lei-C+Lei-D",0.822558,0,0
0,167,1,Incrementalistas,"Lei-C",0.768246,0,0
0,167,1,Incrementalistas,"Lei-B+Lei-C",0.925475,0,0
0,168,1,Incrementalistas,"Lei-D",0.651376,0,0
0,177,1,Incrementalistas,"Lei-A+Lei-C+Lei-D",0.922659,0,1
0,196,1,Incrementalistas,"Lei-C+Lei-D",0.799896,0,0
0,202,2,Evolucionistas,"Lei-B",0.779293,0,0
0,202,2,Evolucionistas,"Lei-C",0.858169,0,0
0,203,2,Evolucionistas,"Lei-A+Lei-D",0.808125,0,1
0,233,0,Empiristas,"Lei-B+Lei-C",0.908206,0,0
1,0,0,Empiristas,"nenhuma lei",0.473183,1,0
1,0,1,Incrementalistas,"Lei-C",0.534418,1,0
1,0,1,Incrementalistas,"nenhuma lei",0.487805,0,0
1,0,2,Evolucionistas,"nenhuma lei",0.50896,0,0
1,0,3,Isolados,"nenhuma lei",0.491843,0,0
1,2,0,Empiristas,"Lei-C",0.609799,0,1
1,5,2,Evolucionistas,"Lei-C",0.74223,0,1
1,7,3,Isolados,"Lei-A",0.582984,1,0
1,10,0,Empiristas,"Lei-D",0.585313,1,0
1,12,1,Incrementalistas,"Lei-B+Lei-C",0.839982,1,0
1,12,0,Empiristas,"Lei-B+Lei-C",0.839982,0,1
1,13,1,Incrementalistas,"Lei-D",0.585313,0,1
1,16,1,Incrementalistas,"Lei-B",0.689612,1,0
1,17,0,Empiristas,"Lei-B",0.60003,0,0
1,20,2,Evolucionistas,"Lei-B+Lei-C",0.839982,0,1
1,22,3,Isolados,"Lei-C",0.745303,0,0
1,27,2,Evolucionistas,"Lei-B",0.668108,0,0
1,30,3,Isolados,"Lei-D",0.565932,0,0
1,31,2,Evolucionistas,"Lei-A",0.641956,0,0
1,36,0,Empiristas,"Lei-C+Lei-D",0.777765,1,0
1,40,0,Empiristas,"Lei-A",0.641956,0,1
1,50,1,Incrementalistas,"Lei-A",0.641956,0,1
1,51,2,Evolucionistas,"Lei-D",0.757027,0,1
1,54,1,Incrementalistas,"Lei-C+Lei-D",0.796496,0,0
1,60,0,Empiristas,"Lei-A+Lei-D",0.667589,1,0
1,62,3,Isolados,"Lei-B+Lei-C",0.95191,0,0
1,64,3,Isolados,"nenhuma lei",0.4858,0,0
1,64,1,Incrementalistas,"Lei-A+Lei-D",0.667589,0,1
1,73,3,Isolados,"nenhuma lei",0.477419,0,0
1,84,0,Empiristas,"Lei-A+Lei-C+Lei-D",0.792109,1,0
1,86,1,Incrementalistas,"Lei-B",0.751399,0,0
1,86,1,Incrementalistas,"Lei-B+Lei-C",0.881247,0,0
1,87,3,Isolados,"Lei-B",0.689629,0,0
1,90,1,Incrementalistas,"Lei-D",0.757027,0,1
1,91,3,Isolados,"Lei-B+Lei-C",0.828643,0,0
1,97,2,Evolucionistas,"Lei-C+Lei-D",0.796496,0,1
1,119,0,Empiristas,"Lei-A+Lei-C",0.772348,1,0
1,127,3,Isolados,"Lei-C",0.754944,0,0
1,131,2,Evolucionistas,"Lei-A+Lei-D",0.751173,0,1
1,132,1,Incrementalistas,"Lei-A+Lei-D",0.751173,0,1
1,132,2,Evolucionistas,"Lei-A+Lei-C+Lei-D",0.808374,0,1
1,151,1,Incrementalistas,"Lei-C",0.690374,0,0
1,151,1,Incrementalistas,"Lei-A+Lei-C",0.786405,0,1
1,152,3,Isolados,"Lei-C+Lei-D",0.722571,0,0
1,153,1,Incrementalistas,"Lei-A+Lei-D",0.751173,0,1
1,156,3,Isolados,"Lei-A+Lei-C",0.830866,0,0
1,174,2,Evolucionistas,"Lei-A+Lei-C",0.789019,0,0
1,178,3,Isolados,"Lei-A+Lei-D",0.766905,0,0
1,205,3,Isolados,"Lei-A+Lei-C+Lei-D",0.82438,0,0
1,217,1,Incrementalistas,"Lei-A+Lei-C+Lei-D",0.923324,0,1
1,277,3,Isolados,"Lei-B+Lei-C",0.94139,0,0
1,277,3,Isolados,"Lei-A",0.801817,0,0
1,278,3,Isolados,"Lei-A+Lei-C",0.870399,0,0
1,286,3,Isolados,"Lei-C+Lei-D",0.873097,0,0
2,0,0,Empiristas,"nenhuma lei",0.545352,1,0
2,0,1,Incrementalistas,"nenhuma lei",0.479784,0,0
2,0,2,Evolucionistas,"nenhuma lei",0.418561,0,0
2,0,3,Isolados,"nenhuma lei",0.544257,0,0
2,4,0,Empiristas,"Lei-A+Lei-C",0.733289,1,0
2,5,2,Evolucionistas,"Lei-A+Lei-C",0.733289,0,1
2,6,0,Empiristas,"Lei-D",0.748381,1,0
2,6,0,Empiristas,"Lei-A",0.61727,1,0
2,7,2,Evolucionistas,"Lei-C",0.623244,1,0
2,9,3,Isolados,"Lei-D",0.705468,0,0
2,11,1,Incrementalistas,"Lei-A+Lei-C",0.733289,0,1
2,13,1,Incrementalistas,"Lei-C",0.623244,0,1
2,14,1,Incrementalistas,"Lei-D",0.748381,0,1
2,15,2,Evolucionistas,"Lei-D",0.748381,0,1
2,19,1,Incrementalistas,"Lei-B",0.699608,1,0
2,21,1,Incrementalistas,"Lei-B+Lei-C",0.814258,1,0
2,21,2,Evolucionistas,"Lei-B+Lei-C",0.814258,0,1
2,21,2,Evolucionistas,"Lei-B",0.699608,0,1
2,23,2,Evolucionistas,"Lei-C+Lei-D",0.835668,1,0
2,24,1,Incrementalistas,"Lei-A",0.68882,0,0
2,24,0,Empiristas,"Lei-C",0.657806,0,1
2,26,1,Incrementalistas,"Lei-C+Lei-D",0.835668,0,1
2,27,0,Empiristas,"Lei-C+Lei-D",0.835668,0,1
2,27,0,Empiristas,"Lei-B+Lei-C",0.82899,0,1
2,28,0,Empiristas,"Lei-B",0.699608,0,1
2,36,2,Evolucionistas,"Lei-A",0.74288,0,0
2,38,3,Isolados,"Lei-A",0.598996,0,0
2,44,3,Isolados,"Lei-C",0.702491,0,0
2,54,3,Isolados,"Lei-B",0.620076,0,0
2,62,0,Empiristas,"Lei-A+Lei-C+Lei-D",0.828838,1,0
2,64,2,Evolucionistas,"Lei-A+Lei-C+Lei-D",0.934922,0,0
2,65,3,Isolados,"Lei-A+Lei-C",0.766571,0,0
2,65,1,Incrementalistas,"Lei-A+Lei-C+Lei-D",0.828838,0,1
2,75,1,Incrementalistas,"Lei-A+Lei-D",0.685569,1,0
2,77,0,Empiristas,"Lei-A+Lei-D",0.774053,0,0
2,79,2,Evolucionistas,"Lei-A+Lei-D",0.757531,0,0
2,91,3,Isolados,"Lei-A+Lei-C+Lei-D",0.821733,0,0
2,98,2,Evolucionistas,"Lei-A",0.748076,0,0
2,98,2,Evolucionistas,"Lei-A+Lei-D",0.810044,0,1
2,99,3,Isolados,"Lei-C+Lei-D",0.750799,0,0
2,100,2,Evolucionistas,"Lei-A+Lei-C",0.880404,0,1
2,104,3,Isolados,"Lei-A+Lei-D",0.707656,0,0
2,110,3,Isolados,"Lei-B+Lei-C",0.886968,0,0
2,130,2,Evolucionistas,"Lei-B",0.730956,0,0
2,148,0,Empiristas,"Lei-C",0.583126,0,0
2,149,0,Empiristas,"Lei-C+Lei-D",0.793218,0,0
2,158,0,Empiristas,"Lei-B+Lei-C",0.935204,0,1
2,227,0,Empiristas,"nenhuma lei",0.565023,0,0
2,227,0,Empiristas,"Lei-B+Lei-C",0.78421,0,0
2,227,0,Empiristas,"Lei-A+Lei-C+Lei-D",0.886447,0,0
2,227,0,Empiristas,"Lei-A+Lei-D",0.703849,0,0
2,227,0,Empiristas,"Lei-C",0.711041,0,0
2,227,0,Empiristas,"Lei-D",0.72879,0,0
2,227,0,Empiristas,"Lei-C+Lei-D",0.785904,0,0
2,235,1,Incrementalistas,"Lei-A+Lei-C+Lei-D",0.939506,0,0
2,235,1,Incrementalistas,"Lei-C+Lei-D",0.822934,0,0
2,235,1,Incrementalistas,"Lei-A+Lei-D",0.832793,0,0
2,235,1,Incrementalistas,"Lei-C",0.695253,0,0
2,235,1,Incrementalistas,"Lei-A",0.674666,0,0
2,272,2,Evolucionistas,"Lei-A+Lei-C+Lei-D",1,0,0
2,272,2,Evolucionistas,"Lei-C+Lei-D",0.819792,0,0
2,272,2,Evolucionistas,"Lei-D",0.666371,0,0
2,274,2,Evolucionistas,"Lei-A",0.625609,0,0
3,0,0,Empiristas,"nenhuma lei",0.506646,1,0
3,0,1,Incrementalistas,"nenhuma lei",0.540598,0,0
3,0,2,Evolucionistas,"nenhuma lei",0.54589,0,0
3,0,3,Isolados,"nenhuma lei",0.463376,0,0
3,6,0,Empiristas,"Lei-A",0.658526,1,0
3,6,1,Incrementalistas,"Lei-A",0.641871,0,0
3,6,2,Evolucionistas,"Lei-B",0.716604,1,0
3,6,0,Empiristas,"Lei-B",0.716604,0,1
3,7,0,Empiristas,"Lei-D",0.6129,1,0
3,7,2,Evolucionistas,"Lei-A",0.641871,0,1
3,7,1,Incrementalistas,"Lei-B",0.716604,0,1
3,14,0,Empiristas,"Lei-C",0.608047,1,0
3,14,1,Incrementalistas,"Lei-B+Lei-C",0.821774,1,0
3,14,0,Empiristas,"Lei-B+Lei-C",0.821774,0,1
3,15,1,Incrementalistas,"Lei-C",0.674762,0,0
3,17,2,Evolucionistas,"Lei-B+Lei-C",0.900226,0,0
3,22,2,Evolucionistas,"Lei-C",0.692074,0,1
3,24,2,Evolucionistas,"Lei-D",0.65466,0,1
3,28,1,Incrementalistas,"Lei-D",0.65466,0,1
3,30,1,Incrementalistas,"Lei-A+Lei-C",0.814291,1,0
3,34,0,Empiristas,"Lei-A+Lei-C",0.71191,0,0
3,36,3,Isolados,"Lei-D",0.616966,0,0
3,39,2,Evolucionistas,"Lei-A+Lei-C",0.765195,0,0
3,46,3,Isolados,"Lei-A",0.631506,0,0
3,52,3,Isolados,"Lei-C",0.562777,0,0
3,77,3,Isolados,"Lei-B",0.654076,0,0
3,91,0,Empiristas,"Lei-C+Lei-D",0.721713,1,0
3,91,0,Empiristas,"Lei-B+Lei-C",0.957404,0,1
3,94,0,Empiristas,"Lei-C",0.683399,0,0
3,98,1,Incrementalistas,"Lei-C+Lei-D",0.721713,0,1
3,101,3,Isolados,"Lei-B+Lei-C",0.672819,0,0
3,107,0,Empiristas,"Lei-A+Lei-D",0.778649,1,0
