rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,0,0,Empiristas,0.515057,1,2
0,0,1,Incrementalistas,0.620837,1,2
0,0,2,Evolucionistas,0.505619,1,2
0,0,3,Isolados,0.648609,2,2
0,5,0,Empiristas,0.675564,2,12
0,5,1,Incrementalistas,0.64899,1,13
0,5,2,Evolucionistas,0.727313,2,12
0,5,3,Isolados,0.76738,3,13
0,10,0,Empiristas,0.766689,4,26
0,10,1,Incrementalistas,0.727313,2,24
0,10,2,Evolucionistas,0.766689,3,24
0,10,3,Isolados,0.772645,3,28
0,15,0,Empiristas,0.766689,4,38
0,15,1,Incrementalistas,0.766689,3,37
0,15,2,Evolucionistas,0.766689,3,36
0,15,3,Isolados,0.772645,3,42
0,20,0,Empiristas,0.766689,4,52
0,20,1,Incrementalistas,0.766689,3,50
0,20,2,Evolucionistas,0.766689,3,50
0,20,3,Isolados,0.772645,4,56
0,25,0,Empiristas,0.802,4,68
0,25,1,Incrementalistas,0.766689,4,67
0,25,2,Evolucionistas,0.766689,3,65
0,25,3,Isolados,0.772645,4,71
0,30,0,Empiristas,0.812063,4,86
0,30,1,Incrementalistas,0.802,4,85
0,30,2,Evolucionistas,0.802,4,82
0,30,3,Isolados,0.772645,5,88
0,35,0,Empiristas,0.812063,5,106
0,35,1,Incrementalistas,0.812063,4,104
0,35,2,Evolucionistas,0.896439,6,102
0,35,3,Isolados,0.772645,5,108
0,40,0,Empiristas,0.817405,5,126
0,40,1,Incrementalistas,0.812063,4,125
0,40,2,Evolucionistas,0.896439,6,123
0,40,3,Isolados,0.794684,6,129
0,45,0,Empiristas,0.822499,6,150
0,45,1,Incrementalistas,0.812063,4,149
0,45,2,Evolucionistas,0.896439,7,147
0,45,3,Isolados,0.841669,6,154
0,50,0,Empiristas,0.822499,7,175
0,50,1,Incrementalistas,0.896439,6,173
0,50,2,Evolucionistas,0.896439,7,172
0,50,3,Isolados,0.849944,6,179
0,55,0,Empiristas,0.896439,7,204
0,55,1,Incrementalistas,0.896439,7,201
0,55,2,Evolucionistas,0.896439,7,200
0,55,3,Isolados,0.891046,6,208
0,60,0,Empiristas,0.896439,7,235
0,60,1,Incrementalistas,0.896439,7,233
