rodada,ano,civilizacao,cultura,classe,score,primeira_do_universo,por_contato
0,0,0,Carbono/agua,"nenhuma lei",0.505516,1,0
0,0,1,Carbono/amonia,"nenhuma lei",0.483973,0,0
0,0,2,Carbono/acido sulfurico,"nenhuma lei",0.503774,0,0
0,0,3,Carbono/metano,"nenhuma lei",0.6191,0,0
0,0,4,Silicio/agua,"Lei-D",0.624582,1,0
0,0,4,Silicio/agua,"nenhuma lei",0.577918,0,0
0,0,5,Silicio/acido sulfurico,"nenhuma lei",0.444993,0,0
0,0,5,Silicio/acido sulfurico,"Lei-B",0.659398,1,0
0,3,0,Carbono/agua,"Lei-C",0.674399,1,0
0,4,0,Carbono/agua,"Lei-C+Lei-D",0.713167,1,0
0,10,0,Carbono/agua,"Lei-D",0.65793,0,0
0,12,2,Carbono/acido sulfurico,"Lei-B",0.605057,0,0
0,20,0,Carbono/agua,"Lei-A",0.597793,1,0
0,20,2,Carbono/acido sulfurico,"Lei-A",0.635509,0,0
0,20,5,Silicio/acido sulfurico,"Lei-C",0.581465,0,0
0,21,3,Carbono/metano,"Lei-B",0.652255,0,0
0,21,3,Carbono/metano,"Lei-D",0.658315,0,0
0,22,1,Carbono/amonia,"Lei-A",0.53347,0,0
0,25,4,Silicio/agua,"Lei-A",0.563388,0,0
0,25,5,Silicio/acido sulfurico,"Lei-A",0.693981,0,0
0,35,4,Silicio/agua,"Lei-A+Lei-D",0.753261,1,0
0,40,5,Silicio/acido sulfurico,"Lei-D",0.633483,0,0
0,44,4,Silicio/agua,"Lei-B",0.672827,0,0
0,45,2,Carbono/acido sulfurico,"Lei-B+Lei-C",0.805771,1,0
0,46,2,Carbono/acido sulfurico,"Lei-C",0.727849,0,0
0,48,0,Carbono/agua,"Lei-B",0.542529,0,0
0,48,2,Carbono/acido sulfurico,"Lei-B",0.77473,0,0
0,48,2,Carbono/acido sulfurico,"Lei-A+Lei-C",0.811145,1,0
0,49,2,Carbono/acido sulfurico,"Lei-D",0.629713,0,0
0,52,2,Carbono/acido sulfurico,"Lei-A",0.663853,0,0
0,52,2,Carbono/acido sulfurico,"Lei-C",0.700103,0,0
0,54,3,Carbono/metano,"Lei-A",0.691799,0,0
0,56,1,Carbono/amonia,"Lei-D",0.665841,0,0
0,57,1,Carbono/amonia,"Lei-A+Lei-D",0.816675,0,0
0,58,1,Carbono/amonia,"Lei-C",0.757926,0,0
0,60,1,Carbono/amonia,"Lei-B",0.772016,0,0
0,62,5,Silicio/acido sulfurico,"Lei-B+Lei-C",0.716191,0,0
0,64,1,Carbono/amonia,"Lei-B+Lei-C",0.888828,0,0
0,64,2,Carbono/acido sulfurico,"Lei-A+Lei-C+Lei-D",0.854815,1,0
0,67,2,Carbono/acido sulfurico,"Lei-A+Lei-D",0.774427,0,0
0,73,0,Carbono/agua,"Lei-B+Lei-C",0.814734,0,0
0,77,5,Silicio/acido sulfurico,"nenhuma lei",0.673847,0,0
0,77,5,Silicio/acido sulfurico,"Lei-B+Lei-C",0.919849,0,0
0,78,3,Carbono/metano,"Lei-B+Lei-C",0.847314,0,0
0,79,3,Carbono/metano,"Lei-A+Lei-D",0.712556,0,0
0,82,4,Silicio/agua,"Lei-C",0.548378,0,0
0,83,4,Silicio/agua,"Lei-A+Lei-C+Lei-D",0.865054,0,0
0,86,2,Carbono/acido sulfurico,"Lei-C+Lei-D",0.79831,0,0
0,86,4,Silicio/agua,"Lei-A+Lei-C",0.745279,0,0
0,87,1,Carbono/amonia,"Lei-A+Lei-C",0.764147,0,0
0,88,4,Silicio/agua,"Lei-C+Lei-D",0.757526,0,0
0,95,2,Carbono/acido sulfurico,"Lei-B",0.825866,0,0
0,95,3,Carbono/metano,"Lei-A+Lei-C",0.778747,0,0
0,96,2,Carbono/acido sulfurico,"Lei-A",0.795042,0,0
0,101,3,Carbono/metano,"Lei-C",0.698546,0,0
0,111,5,Silicio/acido sulfurico,"Lei-A+Lei-D",0.677115,0,0
0,122,0,Carbono/agua,"Lei-A+Lei-C+Lei-D",0.898903,0,0
0,122,3,Carbono/metano,"Lei-A+Lei-C+Lei-D",0.820402,0,0
0,123,0,Carbono/agua,"Lei-A+Lei-D",0.78686,0,0
0,131,3,Carbono/metano,"Lei-C+Lei-D",0.724419,0,0
0,136,4,Silicio/agua,"Lei-B+Lei-C",0.86187,0,0
0,139,5,Silicio/acido sulfurico,"Lei-A+Lei-C+Lei-D",0.816096,0,0
0,142,0,Carbono/agua,"Lei-A+Lei-C",0.814683,0,0
0,148,5,Silicio/acido sulfurico,"nenhuma lei",0.587821,0,0
0,148,5,Silicio/acido sulfurico,"Lei-B+Lei-C",0.945227,0,0
0,155,4,Silicio/agua,"nenhuma lei",0.594804,0,0
0,155,4,Silicio/agua,"Lei-A+Lei-C",0.81627,0,0
0,155,4,Silicio/agua,"Lei-D",0.696714,0,0
0,155,4,Silicio/agua,"Lei-A+Lei-D",0.824852,0,0
0,155,5,Silicio/acido sulfurico,"Lei-B+Lei-C",0.921772,0,0
0,155,5,Silicio/acido sulfurico,"Lei-B",0.733597,0,0
0,156,4,Silicio/agua,"Lei-A",0.683836,0,0
0,157,4,Silicio/agua,"Lei-C",0.654761,0,0
0,160,1,Carbono/amonia,"Lei-C+Lei-D",0.866807,0,0
0,161,1,Carbono/amonia,"Lei-B+Lei-C",0.909143,0,0
0,161,1,Carbono/amonia,"nenhuma lei",0.495547,0,0
0,168,5,Silicio/acido sulfurico,"Lei-A",0.611753,0,0
0,180,0,Carbono/agua,"Lei-C",0.80682,0,0
0,180,0,Carbono/agua,"Lei-C+Lei-D",0.925251,0,0
0,181,0,Carbono/agua,"Lei-B+Lei-C",0.826491,0,0
0,183,0,Carbono/agua,"Lei-B",0.683812,0,0
0,189,5,Silicio/acido sulfurico,"Lei-A+Lei-C",0.777737,0,0
0,198,5,Silicio/acido sulfurico,"Lei-C+Lei-D",0.85322,0,0
0,199,1,Carbono/amonia,"Lei-B+Lei-C",0.924862,0,0
0,199,1,Carbono/amonia,"nenhuma lei",0.52599,0,0
0,199,1,Carbono/amonia,"Lei-A",0.587315,0,0
0,201,1,Carbono/amonia,"Lei-C",0.643621,0,0
0,203,0,Carbono/agua,"Lei-C+Lei-D",0.802896,0,0
0,204,0,Carbono/agua,"Lei-B",0.577242,0,0
0,224,1,Carbono/amonia,"Lei-A+Lei-C",0.856655,0,0
0,244,5,Silicio/acido sulfurico,"Lei-A+Lei-D",0.743705,0,0
0,248,0,Carbono/agua,"Lei-A+Lei-C",0.827778,0,0
0,251,0,Carbono/agua,"Lei-A+Lei-C+Lei-D",0.918599,0,0
1,0,0,Carbono/agua,"nenhuma lei",0.473183,1,0
1,0,1,Carbono/amonia,"Lei-C",0.534418,1,0
1,0,1,Carbono/amonia,"nenhuma lei",0.487805,0,0
1,0,2,Carbono/acido sulfurico,"nenhuma lei",0.50896,0,0
1,0,3,Carbono/metano,"nenhuma lei",0.62272,0,0
1,0,4,Silicio/agua,"nenhuma lei",0.510766,0,0
1,0,5,Silicio/acido sulfurico,"nenhuma lei",0.520444,0,0
1,5,0,Carbono/agua,"Lei-A",0.684935,1,0
1,8,1,Carbono/amonia,"Lei-A",0.633827,0,0
1,10,5,Silicio/acido sulfurico,"Lei-B+Lei-C",0.701866,1,0
1,12,2,Carbono/acido sulfurico,"Lei-B",0.667489,1,0
1,13,4,Silicio/agua,"Lei-C",0.661756,0,0
1,13,5,Silicio/acido sulfurico,"Lei-C",0.564178,0,0
1,16,5,Silicio/acido sulfurico,"Lei-D",0.572935,1,0
1,17,1,Carbono/amonia,"Lei-A+Lei-C",0.704553,1,0
1,17,3,Carbono/metano,"Lei-B",0.574346,0,0
1,18,4,Silicio/agua,"Lei-B+Lei-C",0.761899,0,0
1,19,5,Silicio/acido sulfurico,"Lei-A",0.627097,0,0
1,20,4,Silicio/agua,"Lei-B",0.612308,0,0
1,20,5,Silicio/acido sulfurico,"Lei-B",0.60785,0,0
1,26,1,Carbono/amonia,"Lei-C+Lei-D",0.810494,1,0
1,27,4,Silicio/agua,"Lei-D",0.601163,0,0
1,28,3,Carbono/metano,"Lei-A",0.59176,0,0
1,31,5,Silicio/acido sulfurico,"Lei-A+Lei-D",0.701247,1,0
1,32,1,Carbono/amonia,"Lei-D",0.595497,0,0
1,33,0,Carbono/agua,"Lei-C",0.621923,0,0
1,39,2,Carbono/acido sulfurico,"Lei-A",0.557922,0,0
1,42,5,Silicio/acido sulfurico,"Lei-A+Lei-C+Lei-D",0.837942,1,0
1,44,2,Carbono/acido sulfurico,"Lei-B+Lei-C",0.76743,0,0
1,47,3,Carbono/metano,"Lei-D",0.63517,0,0
1,48,0,Carbono/agua,"Lei-A+Lei-D",0.78539,0,0
1,49,1,Carbono/amonia,"Lei-A+Lei-C+Lei-D",0.847275,0,0
1,51,0,Carbono/agua,"Lei-D",0.714348,0,0
1,53,1,Carbono/amonia,"Lei-B+Lei-C",0.811421,0,0
1,53,2,Carbono/acido sulfurico,"Lei-C",0.673587,0,0
1,53,4,Silicio/agua,"Lei-A+Lei-C",0.745184,0,0
1,54,3,Carbono/metano,"Lei-B+Lei-C",0.78279,0,0
1,54,4,Silicio/agua,"Lei-B+Lei-C",0.711239,0,0
1,55,2,Carbono/acido sulfurico,"Lei-D",0.579379,0,0
1,56,4,Silicio/agua,"Lei-B",0.636611,0,0
1,57,1,Carbono/amonia,"Lei-A+Lei-D",0.658173,0,0
1,57,4,Silicio/agua,"nenhuma lei",0.506294,0,0
1,59,4,Silicio/agua,"Lei-A+Lei-D",0.74494,0,0
1,63,0,Carbono/agua,"Lei-B",0.642057,0,0
1,64,4,Silicio/agua,"Lei-A",0.670067,0,0
1,65,3,Carbono/metano,"Lei-C",0.656832,0,0
1,67,5,Silicio/acido sulfurico,"Lei-A+Lei-C",0.75096,0,0
1,67,5,Silicio/acido sulfurico,"Lei-C+Lei-D",0.739797,0,0
1,74,2,Carbono/acido sulfurico,"Lei-A+Lei-C",0.697289,0,0
1,87,2,Carbono/acido sulfurico,"Lei-A+Lei-C+Lei-D",0.834471,0,0
1,87,2,Carbono/acido sulfurico,"Lei-C+Lei-D",0.82855,0,0
1,89,4,Silicio/agua,"Lei-C+Lei-D",0.735499,0,0
1,91,1,Carbono/amonia,"Lei-B",0.722268,0,0
1,104,3,Carbono/metano,"Lei-A+Lei-C",0.746142,0,0
1,106,2,Carbono/acido sulfurico,"Lei-A+Lei-D",0.595996,0,0
1,123,0,Carbono/agua,"Lei-B+Lei-C",0.679867,0,0
1,131,4,Silicio/agua,"Lei-B",0.614281,0,0
1,140,4,Silicio/agua,"Lei-A+Lei-C+Lei-D",0.920555,0,0
1,142,4,Silicio/agua,"Lei-A+Lei-D",0.842004,0,0
1,143,4,Silicio/agua,"Lei-A+Lei-C",0.723863,0,0
1,144,4,Silicio/agua,"Lei-C+Lei-D",0.784177,0,0
1,158,0,Carbono/agua,"Lei-A+Lei-C",0.810331,0,0
1,165,0,Carbono/agua,"Lei-A+Lei-C+Lei-D",0.934406,0,0
1,166,0,Carbono/agua,"Lei-C+Lei-D",0.885709,0,0
1,232,3,Carbono/metano,"Lei-A+Lei-D",0.777888,0,0
1,241,3,Carbono/metano,"Lei-C+Lei-D",0.738153,0,0
2,0,0,Carbono/agua,"nenhuma lei",0.545352,1,0
2,0,1,Carbono/amonia,"nenhuma lei",0.479784,0,0
2,0,2,Carbono/acido sulfurico,"nenhuma lei",0.473929,0,0
2,0,3,Carbono/metano,"nenhuma lei",0.461294,0,0
2,0,4,Silicio/agua,"nenhuma lei",0.500416,0,0
2,0,5,Silicio/acido sulfurico,"Lei-A",0.553097,1,0
2,0,5,Silicio/acido sulfurico,"nenhuma lei",0.529313,0,0
2,1,5,Silicio/acido sulfurico,"Lei-C",0.638812,1,0
2,2,1,Carbono/amonia,"Lei-B",0.706241,1,0
2,8,2,Carbono/acido sulfurico,"Lei-C",0.681769,0,0
2,9,5,Silicio/acido sulfurico,"Lei-B",0.648472,0,0
2,11,4,Silicio/agua,"Lei-A",0.604527,0,0
2,15,0,Carbono/agua,"Lei-B",0.708663,0,0
2,15,4,Silicio/agua,"Lei-D",0.565817,1,0
2,15,5,Silicio/acido sulfurico,"Lei-B+Lei-C",0.728433,1,0
2,24,5,Silicio/acido sulfurico,"Lei-A+Lei-C",0.714712,1,0
2,26,4,Silicio/agua,"Lei-C",0.623982,0,0
2,29,2,Carbono/acido sulfurico,"Lei-A+Lei-C",0.789958,0,0
2,30,3,Carbono/metano,"nenhuma lei",0.55022,0,0
2,38,0,Carbono/agua,"Lei-C",0.685194,0,0
2,39,2,Carbono/acido sulfurico,"Lei-A",0.607284,0,0
2,39,5,Silicio/acido sulfurico,"Lei-D",0.626684,0,0
2,43,0,Carbono/agua,"Lei-B+Lei-C",0.87541,0,0
2,44,3,Carbono/metano,"Lei-A",0.544894,0,0
2,46,3,Carbono/metano,"Lei-C",0.675558,0,0
2,47,4,Silicio/agua,"Lei-B",0.595682,0,0
2,48,0,Carbono/agua,"Lei-A",0.667832,0,0
2,56,2,Carbono/acido sulfurico,"Lei-A+Lei-C+Lei-D",0.86501,1,0
2,57,1,Carbono/amonia,"Lei-A",0.786357,0,0
2,61,0,Carbono/agua,"Lei-D",0.653952,0,0
2,61,0,Carbono/agua,"Lei-C+Lei-D",0.777316,1,0
2,61,2,Carbono/acido sulfurico,"Lei-C+Lei-D",0.73928,0,0
2,62,0,Carbono/agua,"Lei-A+Lei-C+Lei-D",0.834805,0,0
2,62,3,Carbono/metano,"Lei-A+Lei-C",0.762193,0,0
2,63,0,Carbono/agua,"Lei-A+Lei-C",0.75693,0,0
2,68,2,Carbono/acido sulfurico,"Lei-D",0.582839,0,0
2,70,2,Carbono/acido sulfurico,"Lei-A+Lei-D",0.740967,1,0
2,75,2,Carbono/acido sulfurico,"Lei-B",0.684371,0,0
2,75,3,Carbono/metano,"Lei-B",0.71973,0,0
2,76,0,Carbono/agua,"Lei-A+Lei-D",0.714067,0,0
2,77,4,Silicio/agua,"Lei-A+Lei-C",0.753795,0,0
2,78,2,Carbono/acido sulfurico,"Lei-B+Lei-C",0.829181,0,0
2,87,1,Carbono/amonia,"Lei-D",0.595052,0,0
2,90,5,Silicio/acido sulfurico,"Lei-C+Lei-D",0.796705,0,0
2,96,4,Silicio/agua,"Lei-A+Lei-D",0.826595,0,0
2,105,3,Carbono/metano,"Lei-D",0.518389,0,0
2,106,1,Carbono/amonia,"Lei-C",0.700909,0,0
2,115,1,Carbono/amonia,"nenhuma lei",0.50973,0,0
2,120,4,Silicio/agua,"Lei-B+Lei-C",0.752197,0,0
2,121,3,Carbono/metano,"Lei-C+Lei-D",0.752821,0,0
2,122,3,Carbono/metano,"Lei-A+Lei-D",0.668695,0,0
2,142,3,Carbono/metano,"Lei-A+Lei-C+Lei-D",0.921053,0,0
2,143,1,Carbono/amonia,"Lei-C",0.565609,0,0
2,144,1,Carbono/amonia,"Lei-A+Lei-C",0.734916,0,0
2,147,3,Carbono/metano,"Lei-A+Lei-C",0.80184,0,0
2,148,3,Carbono/metano,"Lei-A",0.695087,0,0
2,154,4,Silicio/agua,"Lei-A+Lei-C+Lei-D",0.805359,0,0
2,155,5,Silicio/acido sulfurico,"Lei-A+Lei-D",0.75495,0,0
2,169,1,Carbono/amonia,"Lei-B+Lei-C",0.812663,0,0
2,173,5,Silicio/acido sulfurico,"Lei-A+Lei-C+Lei-D",0.88609,0,0
2,174,4,Silicio/agua,"Lei-C+Lei-D",0.834407,0,0
2,233,1,Carbono/amonia,"Lei-A+Lei-C+Lei-D",0.881758,0,0
2,236,1,Carbono/amonia,"Lei-A+Lei-D",0.762945,0,0
2,245,1,Carbono/amonia,"Lei-C+Lei-D",0.810768,0,0
2,260,3,Carbono/metano,"Lei-B+Lei-C",0.773319,0,0
2,288,3,Carbono/metano,"Lei-C",0.740521,0,0
2,291,3,Carbono/metano,"Lei-A+Lei-D",0.700535,0,0
2,299,0,Carbono/agua,"Lei-C",0.823415,0,0
2,299,0,Carbono/agua,"Lei-C+Lei-D",0.739864,0,0
2,300,0,Carbono/agua,"Lei-D",0.634151,0,0
3,0,0,Carbono/agua,"nenhuma lei",0.506646,1,0
3,0,1,Carbono/amonia,"nenhuma lei",0.540598,0,0
