rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,0,0,Carbono/agua,0.515057,1,2
0,0,1,Carbono/amonia,0.620837,1,2
0,0,2,Carbono/acido sulfurico,0.505619,1,3
0,0,3,Carbono/metano,0.6191,1,1
0,0,4,Silicio/agua,0.624582,2,2
0,0,5,Silicio/acido sulfurico,0.659398,2,3
0,5,0,Carbono/agua,0.744949,3,13
0,5,1,Carbono/amonia,0.620837,1,9
0,5,2,Carbono/acido sulfurico,0.541472,1,16
0,5,3,Carbono/metano,0.657855,1,6
0,5,4,Silicio/agua,0.656315,2,16
0,5,5,Silicio/acido sulfurico,0.659398,2,19
0,10,0,Carbono/agua,0.744949,4,26
0,10,1,Carbono/amonia,0.620837,1,18
0,10,2,Carbono/acido sulfurico,0.588798,1,31
0,10,3,Carbono/metano,0.657855,1,12
0,10,4,Silicio/agua,0.667013,2,29
0,10,5,Silicio/acido sulfurico,0.707533,2,36
0,15,0,Carbono/agua,0.744949,4,41
0,15,1,Carbono/amonia,0.620837,1,28
0,15,2,Carbono/acido sulfurico,0.611175,2,47
0,15,3,Carbono/metano,0.681623,1,18
0,15,4,Silicio/agua,0.703851,2,44
0,15,5,Silicio/acido sulfurico,0.707533,2,54
0,20,0,Carbono/agua,0.75981,5,57
0,20,1,Carbono/amonia,0.649013,1,41
0,20,2,Carbono/acido sulfurico,0.688853,3,67
0,20,3,Carbono/metano,0.681623,1,25
0,20,4,Silicio/agua,0.715332,2,60
0,20,5,Silicio/acido sulfurico,0.707533,3,76
0,25,0,Carbono/agua,0.763724,5,73
0,25,1,Carbono/amonia,0.649013,2,51
0,25,2,Carbono/acido sulfurico,0.696133,3,88
0,25,3,Carbono/metano,0.681623,3,34
0,25,4,Silicio/agua,0.715332,3,77
0,25,5,Silicio/acido sulfurico,0.746968,4,101
0,30,0,Carbono/agua,0.763724,5,93
0,30,1,Carbono/amonia,0.649013,2,64
0,30,2,Carbono/acido sulfurico,0.707122,3,111
0,30,3,Carbono/metano,0.733722,3,42
0,30,4,Silicio/agua,0.751898,3,98
0,30,5,Silicio/acido sulfurico,0.754567,4,126
0,35,0,Carbono/agua,0.763724,5,113
0,35,1,Carbono/amonia,0.649013,2,79
0,35,2,Carbono/acido sulfurico,0.735777,3,136
0,35,3,Carbono/metano,0.733722,3,52
0,35,4,Silicio/agua,0.755557,4,119
0,35,5,Silicio/acido sulfurico,0.754567,4,156
0,40,0,Carbono/agua,0.854743,5,137
0,40,1,Carbono/amonia,0.650429,2,95
0,40,2,Carbono/acido sulfurico,0.769212,3,165
0,40,3,Carbono/metano,0.733722,3,61
0,40,4,Silicio/agua,0.755557,4,140
0,40,5,Silicio/acido sulfurico,0.791902,5,188
0,45,0,Carbono/agua,0.854743,5,162
0,45,1,Carbono/amonia,0.655712,2,115
0,45,2,Carbono/acido sulfurico,0.883632,4,197
0,45,3,Carbono/metano,0.733722,3,73
0,45,4,Silicio/agua,0.759771,5,167
0,45,5,Silicio/acido sulfurico,0.791902,5,223
0,50,0,Carbono/agua,0.854743,6,189
0,50,1,Carbono/amonia,0.655712,2,133
0,50,2,Carbono/acido sulfurico,0.883632,5,222
0,50,3,Carbono/metano,0.733722,3,86
0,50,4,Silicio/agua,0.759771,5,196
0,50,5,Silicio/acido sulfurico,0.791902,5,263
0,55,0,Carbono/agua,0.854743,6,219
0,55,1,Carbono/amonia,0.655712,2,155
0,55,2,Carbono/acido sulfurico,0.883632,7,241
0,55,3,Carbono/metano,0.735592,4,100
0,55,4,Silicio/agua,0.798903,5,228
0,55,5,Silicio/acido sulfurico,0.791902,5,305
0,60,0,Carbono/agua,0.854743,6,254
0,60,1,Carbono/amonia,0.816675,6,179
0,60,2,Carbono/acido sulfurico,0.883632,7,261
0,60,3,Carbono/metano,0.746564,4,115
0,60,4,Silicio/agua,0.798903,5,262
0,60,5,Silicio/acido sulfurico,0.791902,5,354
0,65,0,Carbono/agua,0.861486,6,292
0,65,1,Carbono/amonia,0.888828,7,206
0,65,2,Carbono/acido sulfurico,0.903836,8,283
0,65,3,Carbono/metano,0.746564,4,130
0,65,4,Silicio/agua,0.798903,5,302
0,65,5,Silicio/acido sulfurico,0.800732,6,406
0,70,0,Carbono/agua,0.887736,6,332
0,70,1,Carbono/amonia,0.91054,7,235
0,70,2,Carbono/acido sulfurico,0.903836,9,309
0,70,3,Carbono/metano,0.746564,4,150
0,70,4,Silicio/agua,0.808346,5,345
0,70,5,Silicio/acido sulfurico,0.800916,6,463
0,75,0,Carbono/agua,0.888822,7,377
0,75,1,Carbono/amonia,0.91054,7,267
0,75,2,Carbono/acido sulfurico,0.903836,9,362
0,75,3,Carbono/metano,0.746564,4,171
0,75,4,Silicio/agua,0.813149,5,393
0,75,5,Silicio/acido sulfurico,0.800916,4,526
0,80,0,Carbono/agua,0.897884,7,427
0,80,1,Carbono/amonia,0.91054,7,302
0,80,2,Carbono/acido sulfurico,0.929174,9,427
0,80,3,Carbono/metano,0.847314,6,195
0,80,4,Silicio/agua,0.87672,5,446
0,80,5,Silicio/acido sulfurico,0.919849,6,560
0,85,0,Carbono/agua,0.925814,7,481
0,85,1,Carbono/amonia,0.916335,7,338
0,85,2,Carbono/acido sulfurico,0.929174,9,497
0,85,3,Carbono/metano,0.847314,6,219
0,85,4,Silicio/agua,0.87672,7,504
0,85,5,Silicio/acido sulfurico,0.919849,6,598
0,90,0,Carbono/agua,0.925814,7,542
0,90,1,Carbono/amonia,0.916335,8,382
0,90,2,Carbono/acido sulfurico,0.929174,10,558
0,90,3,Carbono/metano,0.847314,6,246
0,90,4,Silicio/agua,0.87672,9,569
0,90,5,Silicio/acido sulfurico,0.919849,6,641
0,95,0,Carbono/agua,0.934884,7,609
0,95,1,Carbono/amonia,0.916335,8,430
0,95,2,Carbono/acido sulfurico,0.948589,9,603
0,95,3,Carbono/metano,0.847314,7,276
0,95,4,Silicio/agua,0.924661,9,639
0,95,5,Silicio/acido sulfurico,0.919849,6,688
0,100,0,Carbono/agua,0.934884,7,684
0,100,1,Carbono/amonia,0.930269,8,481
0,100,2,Carbono/acido sulfurico,0.948589,10,650
0,100,3,Carbono/metano,0.847314,7,309
0,100,4,Silicio/agua,0.934247,9,718
0,100,5,Silicio/acido sulfurico,0.945222,6,750
0,105,0,Carbono/agua,0.934884,7,768
0,105,1,Carbono/amonia,0.930269,8,538
0,105,2,Carbono/acido sulfurico,0.948589,10,703
0,105,3,Carbono/metano,0.847314,8,345
0,105,4,Silicio/agua,0.934247,9,803
0,105,5,Silicio/acido sulfurico,0.945222,6,865
0,110,0,Carbono/agua,0.942382,7,858
0,110,1,Carbono/amonia,0.946709,8,601
