cenario,tempo_apos_formacao_gyr,tempo_cosmico_gyr
Rapido,1.9288,4.29699
Rapido,0.97305,7.29108
Rapido,2.54171,5.57971
Rapido,1.30499,4.22404
Rapido,0.981775,4.82448
Rapido,3.25591,8.06184
Rapido,2.60422,5.19527
Rapido,0.655655,12.7417
Rapido,2.24891,8.03788
Rapido,2.15182,14.0714
Rapido,0.738423,6.712
Rapido,3.63872,9.28977
Rapido,1.76991,13.0113
Rapido,3.47111,9.19638
Rapido,1.99469,9.48296
Rapido,3.69577,7.59851
Rapido,3.19207,13.2706
Rapido,0.847556,5.80682
Rapido,1.77383,7.58601
Rapido,1.43319,10.6319
Rapido,1.58416,9.02316
Rapido,2.26871,13.2066
Rapido,2.3375,11.6867
Rapido,3.46522,6.68101
Rapido,1.29229,3.09185
Rapido,3.60031,6.49753
Rapido,2.27844,9.98358
Rapido,1.08295,13.1727
Rapido,2.18278,12.0661
Rapido,2.05689,7.39434
Rapido,3.87896,9.69676
Rapido,1.03792,5.23581
Rapido,3.80305,7.38396
Rapido,0.982257,4.73839
Rapido,4.07077,14.9722
Rapido,2.40597,8.75277
Rapido,2.83985,13.3079
Rapido,1.82519,10.7386
Rapido,2.53161,11.1143
Rapido,2.59667,11.6536
Rapido,1.84514,6.47503
Rapido,2.96712,6.56198
Rapido,2.13406,11.1994
Rapido,1.21203,4.97137
Rapido,3.17186,8.14398
Rapido,3.57958,9.5918
Rapido,2.49166,6.18108
Rapido,1.22987,7.1394
Rapido,1.93794,9.13858
Rapido,1.29122,4.46481
Rapido,5.41752,15.4782
Rapido,2.166,4.90304
Rapido,3.275,15.3206
Rapido,1.50155,6.21031
Rapido,2.54389,8.58247
Rapido,2.66749,8.80666
Rapido,1.37677,7.76435
Rapido,2.51296,4.75285
Rapido,2.76963,13.4681
Rapido,1.84794,4.53728
Rapido,2.86936,5.59175
Rapido,2.58611,5.18718
Rapido,3.1492,6.10134
Rapido,1.54304,7.0073
Rapido,2.74514,5.6033
Rapido,2.64442,4.47222
Rapido,2.28121,14.2747
Rapido,0.729486,2.07903
Rapido,2.63118,7.04177
Rapido,2.36266,7.99809
Rapido,2.98899,6.95639
Rapido,1.50777,3.56427
Rapido,1.39004,6.33411
Rapido,2.98209,8.36254
Rapido,1.59777,6.24626
Rapido,1.90703,5.03678
Rapido,1.36807,3.70269
Rapido,1.30316,8.98178
Rapido,2.31672,9.57505
Rapido,2.28578,11.444
Rapido,1.22332,6.4753
Rapido,1.64879,6.06954
Rapido,3.17125,7.14498
Rapido,2.85193,5.2184
Rapido,3.93208,8.79385
Rapido,1.34937,3.81057
Rapido,2.68483,6.78376
Rapido,2.69635,6.87137
Rapido,3.40283,7.49867
Rapido,0.821521,4.69399
Rapido,1.17107,9.27479
Rapido,2.96625,6.3601
Rapido,3.74845,8.41111
Rapido,1.51644,5.36002
Rapido,4.35529,9.51434
Rapido,2.08276,11.8621
Rapido,2.3802,9.70435
Rapido,0.551521,3.37991
Rapido,0.993578,7.92295
Rapido,0.981881,11.0357
Rapido,2.36011,7.26758
Rapido,2.00143,8.15956
Rapido,4.30236,6.88756
Rapido,3.65195,14.7488
Rapido,1.11264,6.79548
Rapido,1.87964,7.03093
Rapido,2.82637,9.26122
Rapido,2.00567,4.96201
Rapido,2.57713,9.86803
Rapido,0.99921,11.3702
Rapido,4.87884,14.3234
Rapido,2.08217,3.0149
Rapido,1.19691,12.5582
Rapido,1.92155,4.19714
Rapido,1.41089,7.02238
Rapido,1.17707,5.23754
Rapido,1.27963,13.9282
Rapido,1.22652,4.76599
Rapido,1.79226,3.25903
Rapido,3.03415,8.31672
Rapido,6.42452,9.40781
Rapido,2.24065,6.22753
Rapido,4.14374,10.5029
Rapido,4.51798,10.579
Rapido,1.65408,5.81898
Rapido,4.00819,10.6626
Rapido,0.799612,9.71913
Rapido,1.02719,8.10612
Rapido,1.56391,8.81697
Rapido,2.16841,5.0618
Rapido,0.550685,5.72154
Rapido,2.75852,5.38096
Rapido,4.00397,11.3747
Rapido,2.98599,7.68824
Rapido,2.67305,6.31327
Rapido,1.12483,8.92181
Rapido,2.02724,13.6916
Rapido,4.35718,9.73598
Rapido,2.58677,5.0019
Rapido,2.82126,6.51691
Rapido,2.99153,7.31362
Rapido,1.94997,3.48866
Rapido,0.960913,11.5796
Rapido,1.82057,4.30904
Rapido,3.88119,12.0683
Rapido,3.61939,7.57018
Rapido,1.84352,9.08205
Rapido,3.69362,6.26046
Rapido,1.65722,9.36045
Rapido,4.70791,16.5738
Rapido,2.31248,3.98124
Rapido,2.32289,15.692
Rapido,1.94594,11.496
Rapido,3.13416,7.82528
Rapido,1.59424,4.7181
Rapido,1.20897,12.928
Rapido,2.66262,10.8012
Rapido,1.72874,4.36225
Rapido,1.50433,6.35405
Rapido,2.63689,11.7047
Rapido,1.84806,15.1723
Rapido,1.21447,6.61142
Rapido,0.652095,3.74059
Rapido,1.98529,5.54468
Rapido,1.7474,2.98685
Rapido,1.60877,4.9743
Rapido,3.78036,7.32217
Rapido,2.33658,6.8811
Rapido,2.57197,10.7604
Rapido,3.46618,10.1639
Rapido,1.5623,4.97998
Rapido,2.4647,7.44211
Rapido,1.71031,5.87118
Rapido,2.38273,7.61226
Rapido,1.77763,7.28169
Rapido,1.3807,6.20585
Rapido,1.41217,7.08124
Rapido,1.88886,6.50605
Rapido,4.76189,8.75615
Rapido,1.19942,3.58054
Rapido,1.08717,4.67689
Rapido,1.69301,7.7793
Rapido,1.83058,5.94397
Rapido,1.63134,5.6949
Rapido,3.10874,6.04027
Rapido,2.66945,5.80509
Rapido,1.88886,5.635
Rapido,3.92086,6.70492
Rapido,1.33962,4.28257
Rapido,1.33025,5.83161
Rapido,2.83544,7.38201
Rapido,1.45582,9.07656
Rapido,1.66277,4.00026
Rapido,1.09102,4.34191
Rapido,4.12307,6.5321
Rapido,2.70522,5.24354
Rapido,1.41444,10.0047
Rapido,0.758333,3.8251
Rapido,3.76345,9.99686
Rapido,1.48074,7.04173
Rapido,2.26498,6.25201
Rapido,2.20631,9.46992
Rapido,2.97439,7.25737
Rapido,2.16878,6.90599
Rapido,3.88026,5.57677
Rapido,3.10007,6.03438
Rapido,1.65633,4.00552
Rapido,1.99144,9.31495
Rapido,0.857505,8.73084
Rapido,1.82039,7.02201
Rapido,2.58555,6.54313
Rapido,2.76204,9.82212
Rapido,0.810013,5.02464
Rapido,1.04366,5.08229
Rapido,4.59889,11.6512
Rapido,1.42445,5.91216
Rapido,3.8454,6.16516
Rapido,2.25762,5.59942
Rapido,1.91284,9.53748
Rapido,5.4214,12.769
Rapido,2.11588,8.51771
Rapido,1.12568,8.38104
Rapido,1.45297,11.6766
Rapido,3.68717,10.7612
Rapido,0.784257,4.575
Rapido,2.37432,8.40089
Rapido,1.75802,8.42571
Rapido,3.66545,8.90494
Rapido,1.80014,4.39264
Rapido,2.48211,13.4678
Rapido,3.47769,8.21172
Rapido,4.15552,7.40654
Rapido,2.31165,6.10724
Rapido,3.80301,6.70569
Rapido,1.82725,4.53331
Rapido,1.97764,7.16268
Rapido,1.45391,12.9983
Rapido,2.73868,4.64866
Rapido,2.51992,7.6466
Rapido,4.40067,16.0178
Rapido,1.25176,5.34595
Rapido,1.45759,4.98421
Rapido,3.52819,8.52335
Rapido,3.36239,8.14974
Rapido,3.56071,7.49682
Rapido,2.67089,13.4734
Rapido,3.66646,7.75616
Rapido,1.73578,8.66906
Rapido,2.79875,6.96246
Rapido,2.16452,6.71308
Rapido,1.85728,7.04122
Rapido,3.0964,7.21153
Rapido,2.3617,12.6952
Rapido,0.835068,10.222
Rapido,1.42579,7.36643
Rapido,3.05208,8.41826
Rapido,3.03423,10.8347
Rapido,3.20654,9.1473
Rapido,4.10555,11.552
Rapido,1.40083,3.80868
Rapido,1.70042,4.79451
Rapido,1.47788,8.32304
Rapido,1.19886,4.90711
Rapido,3.20897,8.13674
Rapido,3.01308,8.14506
Rapido,1.40113,7.68638
Rapido,1.39401,3.94217
Rapido,0.94615,3.99244
Rapido,2.79437,6.19698
Rapido,5.05931,12.6538
Rapido,2.59903,5.75858
Rapido,4.43299,8.16034
Rapido,1.69845,3.16897
Rapido,1.90424,4.29785
Rapido,1.11121,9.14677
Rapido,2.26011,8.24033
Rapido,3.7919,10.4247
Rapido,2.98597,7.42992
Rapido,3.52106,8.55816
Rapido,3.18443,6.16475
Rapido,3.71997,5.93397
Rapido,3.30193,8.57514
Rapido,1.27984,5.66723
Rapido,2.90006,6.23629
Rapido,1.44737,7.66255
Rapido,2.19039,5.64804
Rapido,3.23096,6.4857
Rapido,2.42749,6.18552
Rapido,1.24511,2.63827
Rapido,1.58607,9.3103
Rapido,1.07062,5.31716
Rapido,1.08648,5.82594
Rapido,1.17862,4.51115
Rapido,1.47227,2.56797
Rapido,1.45118,2.96454
Rapido,3.4298,5.44538
Rapido,1.60956,11.452
Rapido,3.46038,8.81755
Rapido,2.21568,11.1717
Rapido,1.89307,11.5237
Rapido,3.76466,9.06041
Rapido,1.69762,4.70042
Rapido,1.93562,14.9636
Rapido,2.53956,5.72022
Rapido,4.4407,10.3886
Rapido,3.71812,5.22741
Rapido,2.5353,13.2121
Rapido,2.20132,3.96473
Rapido,2.60233,7.40782
Rapido,2.19305,6.61919
Rapido,2.17807,7.45817
Rapido,1.68759,4.25084
Rapido,2.25729,5.77261
Rapido,3.72386,6.65568
Rapido,1.266,5.76934
Rapido,1.35894,7.90623
Rapido,1.30337,7.81521
Rapido,2.07903,15.3327
Rapido,2.47552,6.01647
Rapido,1.67422,4.28132
Rapido,3.23137,5.44051
Rapido,3.15779,10.8817
Rapido,2.4289,9.93171
Rapido,1.60487,10.1771
Rapido,2.01824,10.4585
Rapido,1.04619,7.38841
Rapido,3.28745,10.0335
Rapido,4.47532,7.87146
Rapido,1.29296,8.62601
Rapido,1.44921,10.3955
Rapido,1.27808,7.13569
Rapido,1.40857,2.56899
Rapido,2.1053,6.81739
Rapido,1.80585,7.11041
Rapido,4.01457,7.91619
Rapido,1.5966,5.39585
Rapido,1.78128,10.7332
Rapido,3.26983,7.10063
Rapido,1.13602,4.40951
Rapido,1.1775,4.95934
Rapido,1.17377,6.49828
Rapido,3.42449,12.293
Rapido,1.88865,10.1959
Rapido,2.25614,5.76755
Rapido,4.08421,7.08393
Rapido,1.45924,8.14019
Rapido,1.95901,10.0571
Rapido,3.50093,11.5634
Rapido,2.28429,8.16585
Rapido,1.53248,5.06761
Rapido,1.19142,4.66188
Rapido,1.03297,5.28521
Rapido,3.24381,7.6952
Rapido,0.998319,10.702
Rapido,1.76537,9.47483
Rapido,2.49546,4.70077
Rapido,1.71296,4.29917
Rapido,1.79009,6.35808
Rapido,2.40957,6.12202
Rapido,1.78465,3.47686
Rapido,1.0906,5.72092
Rapido,1.42713,4.73376
Rapido,1.44316,6.3742
Rapido,1.33844,11.2713
Rapido,2.68309,8.20639
Rapido,0.81977,6.07581
Rapido,1.63694,6.61763
Rapido,2.56581,11.9029
Rapido,4.95377,10.3499
Rapido,1.33852,9.87094
Rapido,1.7285,3.50237
Rapido,3.40006,7.87177
Rapido,1.48309,6.18327
Rapido,3.70061,8.04609
Rapido,1.7592,5.40193
Rapido,3.19457,4.61934
Rapido,0.8218,4.43431
Rapido,0.890908,6.48787
Rapido,1.8047,7.98792
Rapido,1.37515,9.97663
Rapido,1.18473,9.77594
Rapido,1.2273,9.04255
Rapido,1.88487,8.10208
Rapido,1.94519,10.4299
Rapido,1.8631,10.2575
Rapido,2.22237,3.71734
Rapido,5.59499,12.5491
Rapido,2.71991,7.14297
Rapido,1.65396,11.5353
Rapido,2.5649,6.86635
Rapido,1.84851,3.00498
Rapido,1.40683,5.85115
Rapido,2.7802,8.25662
Rapido,2.23586,7.38906
Rapido,4.07849,9.17705
Rapido,2.13616,10.435
Rapido,4.45907,10.0558
Rapido,0.899635,4.42146
Rapido,3.41263,11.3606
Rapido,4.09872,9.63985
Rapido,3.43296,6.81866
Rapido,0.990334,6.94142
Rapido,3.09596,10.7827
Rapido,2.20605,6.21314
Rapido,2.01156,5.05415
Rapido,0.847673,4.76907
Rapido,3.56188,7.57944
Rapido,1.35968,5.37822
Rapido,1.62818,11.0824
Rapido,2.5857,6.2779
Rapido,1.3079,3.51615
Rapido,2.5027,14.8137
Rapido,1.65287,7.09854
Rapido,1.58285,7.40885
Rapido,2.49559,7.86538
Rapido,2.54391,6.68834
Rapido,1.39973,5.41311
Rapido,4.08974,10.4339
Rapido,2.52133,6.84517
Rapido,1.79437,12.088
Rapido,1.06043,5.74842
Rapido,2.71899,7.91387
Rapido,1.48611,4.74293
Rapido,1.34408,4.31223
Rapido,1.61486,10.7159
Rapido,1.38294,11.8981
Rapido,1.53279,5.99509
Rapido,2.4452,8.02217
Rapido,1.33479,3.44846
Rapido,1.06337,10.7312
Rapido,1.14546,3.404
Rapido,1.01849,3.5533
Rapido,3.27265,8.08464
Rapido,1.08375,7.56715
Rapido,2.34765,6.61425
Rapido,2.53717,8.22599
Rapido,3.44863,8.57794
Rapido,2.11407,6.20487
Rapido,1.38455,6.88694
Rapido,2.31391,7.17308
Rapido,2.4867,7.74407
Rapido,2.37464,11.7403
Rapido,1.86561,6.31906
Rapido,2.75773,15.1597
Rapido,3.49576,12.2828
Rapido,1.995,6.64079
Rapido,1.9505,5.80474
Rapido,2.63468,7.14972
Rapido,3.40982,11.1
Rapido,0.902335,3.79039
Rapido,1.78111,7.54311
Rapido,1.28332,2.81217
Rapido,3.26256,10.5914
Rapido,2.69967,9.13442
Rapido,2.7987,6.66754
Rapido,1.99607,9.28511
Rapido,3.30045,7.99058
Rapido,2.4728,10.3088
Rapido,1.55517,7.25689
Rapido,3.63089,8.47012
Rapido,3.52668,6.23271
Rapido,2.61057,9.76094
Rapido,4.97088,17.9473
Rapido,1.2737,5.23018
Rapido,1.73545,9.73553
Rapido,1.91349,4.78964
Rapido,2.90323,9.27676
Rapido,0.945371,6.82385
Rapido,2.23893,6.13505
Rapido,2.44677,5.91055
Rapido,2.82336,9.57274
Rapido,1.71684,8.03243
Rapido,1.11743,6.06212
Rapido,3.77226,8.56192
Rapido,2.21412,7.43799
Rapido,2.12869,7.75378
Rapido,0.865603,4.31996
Rapido,2.65695,6.85845
Rapido,1.13671,6.7952
Rapido,3.47071,9.39665
Rapido,2.4707,7.90726
Rapido,3.23291,9.87707
Rapido,2.05043,8.64209
Rapido,1.98914,6.29105
Rapido,1.97349,6.18588
Rapido,2.88737,11.2449
Rapido,1.65047,14.9781
Rapido,2.46793,10.26
Rapido,0.980595,5.85887
Rapido,3.63022,6.81923
Rapido,2.01743,6.89611
Rapido,2.15473,4.39949
Rapido,0.990881,7.55082
Rapido,1.25482,6.28069
Rapido,0.74646,3.23812
Rapido,2.83447,11.7789
Rapido,1.7676,7.59413
Rapido,1.44414,12.6879
Rapido,2.60095,11.7747
Rapido,1.09163,6.08229
Rapido,2.1985,7.65656
Rapido,3.0667,13.262
Rapido,0.70721,5.76214
Rapido,2.03994,7.32879
Rapido,1.74206,4.86468
Rapido,2.10927,13.0591
Rapido,1.83668,4.91021
Rapido,1.87663,6.46216
Rapido,0.803425,2.7842
Rapido,2.07973,4.43488
Rapido,3.17472,16.0469
Rapido,1.10636,4.21195
Rapido,1.81315,4.31583
Rapido,1.2904,5.42507
Rapido,1.18296,7.40466
Rapido,1.41686,6.02695
Rapido,2.97503,7.35331
Rapido,1.45934,1.96974
Rapido,1.85736,11.9925
Rapido,1.96582,6.81762
Rapido,1.97702,12.2355
Rapido,1.0793,10.1166
Rapido,1.68648,3.46367
Rapido,1.89183,5.44435
Rapido,2.31069,5.64454
Rapido,1.12104,6.99261
Rapido,3.1646,8.68061
Rapido,2.55221,4.63063
Rapido,2.22956,8.45258
Rapido,1.36967,7.23005
Rapido,2.7386,16.4523
Rapido,1.86372,6.01262
Rapido,6.70758,9.08776
Rapido,1.17043,11.6223
Rapido,2.08955,7.5731
Rapido,1.23346,7.03783
Rapido,2.45621,6.38215
Rapido,3.19549,11.8666
Rapido,0.892223,3.78955
Rapido,2.50573,10.9998
Rapido,2.38441,6.81039
Rapido,1.50509,4.82079
Rapido,4.87169,17.4972
Rapido,1.48384,10.4877
Rapido,1.29267,11.2592
Rapido,1.85344,10.2294
Rapido,2.30965,14.8687
Rapido,4.47408,7.60043
Rapido,2.37516,8.56907
Rapido,1.98222,7.90208
Rapido,3.3961,4.89679
Rapido,2.1818,8.4355
Rapido,6.21793,8.74878
Rapido,2.58851,6.35074
Rapido,1.31782,4.66574
Rapido,5.31855,10.322
Rapido,2.91425,10.9243
Rapido,1.89273,5.19487
Rapido,1.97172,5.28643
Rapido,2.02429,8.89039
Rapido,1.82169,7.60121
Rapido,1.75168,4.35382
Rapido,2.83278,14.0905
Rapido,2.29372,12.2024
Rapido,1.11513,5.18673
Rapido,2.23069,9.26416
Rapido,0.611374,5.24023
Rapido,2.17376,8.52474
Rapido,1.02171,6.40512
Rapido,1.96847,10.0348
Rapido,1.64268,7.95841
Rapido,2.00084,4.95959
Rapido,0.893288,5.09052
Rapido,2.69448,8.02431
Rapido,1.32135,5.2167
Rapido,0.855564,7.87261
Rapido,1.5562,8.17173
Rapido,0.632822,1.89197
Rapido,1.83237,14.6707
Rapido,3.88344,16.2061
Rapido,5.27971,9.42353
Rapido,3.20569,12.1373
Rapido,1.34542,8.63947
Rapido,5.56971,17.0803
Rapido,2.70096,7.87606
Rapido,1.51722,4.95524
Rapido,2.80407,8.01568
Rapido,2.11775,5.44591
Rapido,3.25417,5.99042
Rapido,2.96813,15.4433
Rapido,2.5084,11.1023
Rapido,3.3343,12.4545
Rapido,1.51605,4.85552
Rapido,1.39814,13.4641
Rapido,0.958815,4.95541
Rapido,2.14291,5.59795
Rapido,3.47798,10.3271
Rapido,3.97897,8.68055
Rapido,5.04968,9.87773
Rapido,3.21787,5.60644
Rapido,1.5448,3.89393
