rodada,ano,civilizacao,cultura,classe,score,primeira_do_universo,por_contato
0,0,0,Empiristas,"dispersiva",-4.34294e-07,1,0
0,0,1,Incrementalistas,"dispersiva",0.0592292,0,0
0,0,3,Isolados,"dispersiva",-4.34294e-07,0,0
0,1,2,Evolucionistas,"dispersiva",-0.210185,0,0
0,5,3,Isolados,"banda plana isolada [interferencia], 4 sitios",6.15957,1,0
0,13,0,Empiristas,"banda plana isolada [interferencia], 3 sitios",6.47714,1,0
0,13,2,Evolucionistas,"banda plana isolada [interferencia], 3 sitios",6.47714,0,1
0,13,1,Incrementalistas,"banda plana isolada [interferencia], 3 sitios",6.47714,0,1
0,17,2,Evolucionistas,"banda plana isolada [desbalanco de subredes], 3 sitios",7.84117,1,0
0,19,3,Isolados,"banda plana nao isolada [interferencia], 4 sitios",6,1,0
0,22,1,Incrementalistas,"banda plana nao isolada [interferencia], 3 sitios",6,1,0
0,22,1,Incrementalistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,1,0
0,22,0,Empiristas,"banda plana isolada [desbalanco de subredes], 3 sitios",7.84117,0,1
0,24,2,Evolucionistas,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
0,25,1,Incrementalistas,"banda plana isolada [desbalanco de subredes], 3 sitios",7.84117,0,1
0,26,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,1
0,30,0,Empiristas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
0,38,3,Isolados,"banda plana isolada [interferencia], 3 sitios",7.73078,0,0
0,38,0,Empiristas,"banda plana nao isolada [interferencia], 3 sitios",6,0,1
0,48,3,Isolados,"banda plana isolada [desbalanco de subredes], 3 sitios",7.15073,0,0
0,48,3,Isolados,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
0,62,0,Empiristas,"banda plana isolada [desbalanco de subredes], 3 sitios",9,0,0
0,62,0,Empiristas,"dispersiva",-0.233582,0,0
0,65,3,Isolados,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
0,71,2,Evolucionistas,"banda plana isolada [interferencia], 4 sitios",6.32104,0,0
0,79,0,Empiristas,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
0,79,0,Empiristas,"banda plana isolada [interferencia], 4 sitios",6.37934,0,1
0,111,2,Evolucionistas,"banda plana nao isolada [interferencia], 4 sitios",6,0,1
0,112,1,Incrementalistas,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
0,112,1,Incrementalistas,"banda plana isolada [interferencia], 4 sitios",6.99411,0,1
0,143,3,Isolados,"banda plana isolada [desbalanco de subredes], 3 sitios",9,0,0
0,150,3,Isolados,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
0,151,3,Isolados,"banda plana isolada [interferencia], 4 sitios",6.30227,0,0
0,203,1,Incrementalistas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,1,0
0,219,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,0
0,226,0,Empiristas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,0
0,296,3,Isolados,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,0
0,300,2,Evolucionistas,"dispersiva",-0.284255,0,0
0,300,2,Evolucionistas,"banda plana isolada [interferencia], 3 sitios",6.71904,0,0
1,0,0,Empiristas,"dispersiva",-4.34294e-07,1,0
1,0,1,Incrementalistas,"dispersiva",-0.0894389,0,0
1,1,2,Evolucionistas,"dispersiva",-0.343601,0,0
1,2,3,Isolados,"dispersiva",-0.60206,0,0
1,13,0,Empiristas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,1,0
1,14,1,Incrementalistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,1
1,16,1,Incrementalistas,"banda plana nao isolada [interferencia], 3 sitios",6,1,0
1,16,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,1
1,17,1,Incrementalistas,"banda plana isolada [interferencia], 3 sitios",6.30132,1,0
1,20,0,Empiristas,"banda plana isolada [interferencia], 3 sitios",7.75692,0,1
1,20,0,Empiristas,"banda plana nao isolada [interferencia], 3 sitios",6,0,1
1,20,2,Evolucionistas,"banda plana isolada [interferencia], 3 sitios",7.75692,0,1
1,25,1,Incrementalistas,"banda plana isolada [interferencia], 4 sitios",6.29895,1,0
1,26,2,Evolucionistas,"banda plana nao isolada [interferencia], 3 sitios",6,0,1
1,30,0,Empiristas,"banda plana isolada [interferencia], 4 sitios",6.29895,0,1
1,32,2,Evolucionistas,"banda plana isolada [interferencia], 4 sitios",6.29895,0,1
1,34,2,Evolucionistas,"banda plana isolada [desbalanco de subredes], 3 sitios",8.54062,1,0
1,40,0,Empiristas,"banda plana isolada [desbalanco de subredes], 3 sitios",8.54062,0,0
1,42,1,Incrementalistas,"banda plana isolada [desbalanco de subredes], 3 sitios",8.67385,0,0
1,45,2,Evolucionistas,"banda plana nao isolada [interferencia], 4 sitios",6,1,0
1,51,3,Isolados,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
1,52,3,Isolados,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
1,52,3,Isolados,"banda plana isolada [interferencia], 3 sitios",6.41007,0,0
1,54,1,Incrementalistas,"dispersiva",-0.596012,0,0
1,56,3,Isolados,"banda plana isolada [desbalanco de subredes], 3 sitios",7.45107,0,0
1,56,1,Incrementalistas,"banda plana nao isolada [interferencia], 3 sitios",6.11547,0,1
1,58,3,Isolados,"banda plana isolada [interferencia], 4 sitios",7.36695,0,0
1,62,1,Incrementalistas,"banda plana nao isolada [interferencia], 4 sitios",6,0,1
1,83,0,Empiristas,"banda plana nao isolada [interferencia], 4 sitios",6,0,1
1,85,3,Isolados,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
1,122,1,Incrementalistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
1,139,1,Incrementalistas,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
1,207,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,1
1,287,0,Empiristas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,1,0
1,296,1,Incrementalistas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,1
1,298,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,1
2,0,1,Incrementalistas,"dispersiva",-0.166947,1,0
2,0,0,Empiristas,"dispersiva",-0.166947,0,1
2,1,2,Evolucionistas,"dispersiva",-0.428485,0,0
2,1,3,Isolados,"dispersiva",-0.370577,0,0
2,9,0,Empiristas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,1,0
2,10,1,Incrementalistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,1
2,16,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,1
2,19,0,Empiristas,"banda plana isolada [interferencia], 3 sitios",8.54062,1,0
2,21,1,Incrementalistas,"banda plana nao isolada [interferencia], 3 sitios",6,1,0
2,21,1,Incrementalistas,"banda plana isolada [interferencia], 3 sitios",8.54062,0,1
2,21,0,Empiristas,"banda plana nao isolada [interferencia], 3 sitios",6,0,1
2,25,1,Incrementalistas,"banda plana isolada [desbalanco de subredes], 3 sitios",6.73673,1,0
2,25,2,Evolucionistas,"banda plana isolada [interferencia], 3 sitios",8.54062,0,1
2,28,2,Evolucionistas,"banda plana isolada [desbalanco de subredes], 3 sitios",6.46029,0,0
2,32,0,Empiristas,"banda plana isolada [desbalanco de subredes], 3 sitios",7.84117,0,0
2,39,2,Evolucionistas,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
2,50,2,Evolucionistas,"dispersiva",-0.30103,0,0
2,53,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
2,57,3,Isolados,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
2,59,3,Isolados,"banda plana isolada [interferencia], 3 sitios",6.77308,0,0
2,61,3,Isolados,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
2,64,3,Isolados,"banda plana isolada [desbalanco de subredes], 3 sitios",8.02105,0,0
2,80,1,Incrementalistas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,1,0
2,81,1,Incrementalistas,"banda plana nao isolada [interferencia], 4 sitios",6,1,0
2,87,2,Evolucionistas,"banda plana nao isolada [interferencia], 4 sitios",6,0,1
2,91,0,Empiristas,"banda plana nao isolada [interferencia], 4 sitios",6,0,1
2,91,2,Evolucionistas,"banda plana nao isolada [interferencia], 3 sitios",6.14062,0,1
2,97,0,Empiristas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,1
2,103,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,1
2,107,2,Evolucionistas,"banda plana isolada [interferencia], 4 sitios",6.22276,1,0
2,111,0,Empiristas,"banda plana isolada [interferencia], 4 sitios",6.22276,0,1
2,135,1,Incrementalistas,"banda plana isolada [interferencia], 4 sitios",6.31291,0,0
2,171,3,Isolados,"banda plana isolada [interferencia], 4 sitios",6.62228,0,0
2,180,3,Isolados,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
2,233,0,Empiristas,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
2,237,0,Empiristas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,1
2,242,1,Incrementalistas,"quase plana nao isolada, 4 sitios",1.40269,1,0
2,251,3,Isolados,"banda plana isolada [desbalanco de subredes], 3 sitios",9,0,0
2,251,3,Isolados,"banda plana isolada [interferencia], 3 sitios",6.22342,0,0
2,254,3,Isolados,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
2,255,0,Empiristas,"quase plana nao isolada, 4 sitios",1.40269,0,1
3,1,3,Isolados,"dispersiva",-0.342528,1,0
3,2,1,Incrementalistas,"dispersiva",-0.492788,0,0
3,2,3,Isolados,"banda plana isolada [desbalanco de subredes], 3 sitios",8.54062,1,0
3,3,2,Evolucionistas,"dispersiva",-0.16922,0,0
3,4,0,Empiristas,"dispersiva",-0.134601,0,0
3,4,3,Isolados,"banda plana nao isolada [interferencia], 3 sitios",6,1,0
3,8,3,Isolados,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,1,0
3,8,3,Isolados,"banda plana isolada [interferencia], 3 sitios",6.47714,1,0
3,9,0,Empiristas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
3,14,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,1
3,14,1,Incrementalistas,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,1
3,16,0,Empiristas,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
3,17,0,Empiristas,"banda plana isolada [desbalanco de subredes], 3 sitios",8.7186,0,0
3,17,1,Incrementalistas,"banda plana isolada [desbalanco de subredes], 3 sitios",8.7186,0,1
3,17,1,Incrementalistas,"banda plana nao isolada [interferencia], 3 sitios",6,0,1
3,20,2,Evolucionistas,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
3,21,2,Evolucionistas,"banda plana isolada [desbalanco de subredes], 3 sitios",8.7186,0,1
3,22,1,Incrementalistas,"banda plana isolada [interferencia], 3 sitios",6.53376,0,0
3,23,0,Empiristas,"banda plana nao isolada [interferencia], 4 sitios",6,1,0
3,29,2,Evolucionistas,"banda plana isolada [interferencia], 3 sitios",6.48211,0,0
3,29,1,Incrementalistas,"banda plana nao isolada [interferencia], 4 sitios",6,0,1
3,31,0,Empiristas,"banda plana isolada [interferencia], 3 sitios",7.60976,0,0
3,35,1,Incrementalistas,"banda plana isolada [interferencia], 4 sitios",6.82411,1,0
3,39,2,Evolucionistas,"banda plana nao isolada [interferencia], 4 sitios",6,0,1
3,84,1,Incrementalistas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,1,0
3,87,0,Empiristas,"banda plana isolada [interferencia], 4 sitios",7.03636,0,0
3,87,2,Evolucionistas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,1
3,110,2,Evolucionistas,"banda plana isolada [interferencia], 4 sitios",6.46545,0,0
3,110,0,Empiristas,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,1
3,141,3,Isolados,"banda plana isolada [desbalanco de subredes], 3 sitios",9,0,0
3,141,3,Isolados,"banda plana isolada [interferencia], 3 sitios",7.97338,0,0
3,150,1,Incrementalistas,"dispersiva",-0.477121,0,0
3,154,1,Incrementalistas,"banda plana nao isolada [interferencia], 3 sitios",6,0,1
3,158,1,Incrementalistas,"banda plana isolada [interferencia], 4 sitios",6.96863,0,0
3,162,3,Isolados,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
3,179,3,Isolados,"banda plana nao isolada [desbalanco de subredes], 4 sitios",6,0,0
3,180,3,Isolados,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
3,185,3,Isolados,"banda plana isolada [interferencia], 4 sitios",6.70187,0,0
3,210,2,Evolucionistas,"banda plana isolada [desbalanco de subredes], 3 sitios",9,0,0
3,217,2,Evolucionistas,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
3,217,3,Isolados,"banda plana isolada [desbalanco de subredes], 3 sitios",9,0,0
3,217,3,Isolados,"banda plana isolada [interferencia], 4 sitios",6.1868,0,0
3,217,3,Isolados,"banda plana isolada [interferencia], 3 sitios",7.71222,0,0
3,218,3,Isolados,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
3,250,3,Isolados,"dispersiva",0.314381,0,0
