rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,0,0,Empiristas,-4.34294e-07,1,5
0,0,1,Incrementalistas,0.0592292,1,5
0,0,2,Evolucionistas,nan,0,5
0,0,3,Isolados,0.0469758,1,5
0,5,0,Empiristas,0.283511,1,32
0,5,1,Incrementalistas,0.477693,1,33
0,5,2,Evolucionistas,0.283511,1,31
0,5,3,Isolados,6.15957,2,32
0,10,0,Empiristas,0.477693,1,61
0,10,1,Incrementalistas,0.477693,1,63
0,10,2,Evolucionistas,0.477693,1,62
0,10,3,Isolados,6.15957,2,62
0,15,0,Empiristas,6.47714,2,92
0,15,1,Incrementalistas,6.47714,2,96
0,15,2,Evolucionistas,6.47714,2,94
0,15,3,Isolados,6.46027,2,95
0,20,0,Empiristas,6.47714,2,129
0,20,1,Incrementalistas,6.62132,2,133
0,20,2,Evolucionistas,7.84117,3,130
0,20,3,Isolados,6.46027,3,130
0,25,0,Empiristas,7.84117,3,168
0,25,1,Incrementalistas,7.84117,5,172
0,25,2,Evolucionistas,8.05421,4,169
0,25,3,Isolados,6.54512,3,171
0,30,0,Empiristas,8.05421,4,212
0,30,1,Incrementalistas,8.05421,5,215
0,30,2,Evolucionistas,8.21384,5,211
0,30,3,Isolados,6.70732,3,214
0,35,0,Empiristas,8.05421,4,261
0,35,1,Incrementalistas,9,5,264
0,35,2,Evolucionistas,9,5,258
0,35,3,Isolados,6.70732,3,261
0,40,0,Empiristas,9,5,314
0,40,1,Incrementalistas,9,5,317
0,40,2,Evolucionistas,9,5,312
0,40,3,Isolados,7.73078,4,313
0,45,0,Empiristas,9,5,372
0,45,1,Incrementalistas,9,5,375
0,45,2,Evolucionistas,9,5,371
0,45,3,Isolados,7.73078,4,374
0,50,0,Empiristas,9,5,437
0,50,1,Incrementalistas,9,5,441
0,50,2,Evolucionistas,9,5,434
0,50,3,Isolados,7.96045,6,440
0,55,0,Empiristas,9,5,509
0,55,1,Incrementalistas,9,5,511
0,55,2,Evolucionistas,9,5,505
0,55,3,Isolados,9,6,511
0,60,0,Empiristas,9,5,587
0,60,1,Incrementalistas,9,5,589
0,60,2,Evolucionistas,9,5,586
0,60,3,Isolados,9,6,590
0,65,0,Empiristas,9,5,639
0,65,1,Incrementalistas,9,5,675
0,65,2,Evolucionistas,9,5,672
0,65,3,Isolados,9,7,677
0,70,0,Empiristas,9,5,688
0,70,1,Incrementalistas,9,5,771
0,70,2,Evolucionistas,9,5,769
0,70,3,Isolados,9,7,773
0,75,0,Empiristas,9,5,739
0,75,1,Incrementalistas,9,5,877
0,75,2,Evolucionistas,9,6,874
0,75,3,Isolados,9,7,878
0,80,0,Empiristas,9,7,797
0,80,1,Incrementalistas,9,5,994
0,80,2,Evolucionistas,9,6,991
0,80,3,Isolados,9,7,996
0,85,0,Empiristas,9,7,861
0,85,1,Incrementalistas,9,5,1123
0,85,2,Evolucionistas,9,6,1119
0,85,3,Isolados,9,7,1125
0,90,0,Empiristas,9,7,1003
0,90,1,Incrementalistas,9,5,1266
0,90,2,Evolucionistas,9,6,1263
0,90,3,Isolados,9,7,1267
0,95,0,Empiristas,9,7,1161
0,95,1,Incrementalistas,9,5,1425
0,95,2,Evolucionistas,9,6,1419
0,95,3,Isolados,9,7,1425
0,100,0,Empiristas,9,7,1335
0,100,1,Incrementalistas,9,5,1600
0,100,2,Evolucionistas,9,6,1595
0,100,3,Isolados,9,7,1598
0,105,0,Empiristas,9,7,1527
0,105,1,Incrementalistas,9,5,1792
0,105,2,Evolucionistas,9,6,1787
0,105,3,Isolados,9,7,1790
0,110,0,Empiristas,9,7,1740
0,110,1,Incrementalistas,9,5,2005
0,110,2,Evolucionistas,9,6,1999
0,110,3,Isolados,9,7,2003
0,115,0,Empiristas,9,7,1974
0,115,1,Incrementalistas,9,7,2239
0,115,2,Evolucionistas,9,7,2233
0,115,3,Isolados,9,7,2237
0,120,0,Empiristas,9,7,2233
0,120,1,Incrementalistas,9,7,2496
0,120,2,Evolucionistas,9,7,2492
0,120,3,Isolados,9,7,2497
0,125,0,Empiristas,9,7,2519
0,125,1,Incrementalistas,9,7,2782
0,125,2,Evolucionistas,9,7,2777
0,125,3,Isolados,9,7,2783
0,130,0,Empiristas,9,7,2835
0,130,1,Incrementalistas,9,7,3097
0,130,2,Evolucionistas,9,7,3093
0,130,3,Isolados,9,7,3097
0,135,0,Empiristas,9,7,3182
0,135,1,Incrementalistas,9,7,3446
0,135,2,Evolucionistas,9,7,3441
0,135,3,Isolados,9,7,3445
0,140,0,Empiristas,9,7,3566
0,140,1,Incrementalistas,9,7,3831
0,140,2,Evolucionistas,9,7,3825
0,140,3,Isolados,9,7,3830
0,145,0,Empiristas,9,7,3993
0,145,1,Incrementalistas,9,7,4257
0,145,2,Evolucionistas,9,7,4250
0,145,3,Isolados,9,5,4124
0,150,0,Empiristas,9,7,4462
0,150,1,Incrementalistas,9,7,4726
0,150,2,Evolucionistas,9,7,4720
0,150,3,Isolados,9,6,4359
0,155,0,Empiristas,9,7,4979
0,155,1,Incrementalistas,9,7,5242
0,155,2,Evolucionistas,9,7,5239
0,155,3,Isolados,9,7,4618
0,160,0,Empiristas,9,7,5551
0,160,1,Incrementalistas,9,7,5814
0,160,2,Evolucionistas,9,7,5810
0,160,3,Isolados,9,7,4905
0,165,0,Empiristas,9,7,6182
0,165,1,Incrementalistas,9,7,6445
0,165,2,Evolucionistas,9,7,6442
0,165,3,Isolados,9,7,5221
0,170,0,Empiristas,9,7,6879
0,170,1,Incrementalistas,9,7,7141
0,170,2,Evolucionistas,9,7,7139
0,170,3,Isolados,9,7,5851
0,175,0,Empiristas,9,7,7649
0,175,1,Incrementalistas,9,7,7911
0,175,2,Evolucionistas,9,7,7909
0,175,3,Isolados,9,7,6621
0,180,0,Empiristas,9,7,8499
0,180,1,Incrementalistas,9,7,8759
0,180,2,Evolucionistas,9,7,8758
0,180,3,Isolados,9,7,7471
0,185,0,Empiristas,9,7,9435
0,185,1,Incrementalistas,9,7,9697
0,185,2,Evolucionistas,9,7,9696
0,185,3,Isolados,9,7,8408
0,190,0,Empiristas,9,7,10469
0,190,1,Incrementalistas,9,7,10733
0,190,2,Evolucionistas,9,7,10731
0,190,3,Isolados,9,7,9443
0,195,0,Empiristas,9,7,11613
0,195,1,Incrementalistas,9,7,11874
0,195,2,Evolucionistas,9,7,11875
0,195,3,Isolados,9,7,10585
0,200,0,Empiristas,9,7,12875
0,200,1,Incrementalistas,9,7,13134
0,200,2,Evolucionistas,9,7,13136
0,200,3,Isolados,9,7,11847
0,205,0,Empiristas,9,7,14269
0,205,1,Incrementalistas,9,8,14527
0,205,2,Evolucionistas,9,7,14530
0,205,3,Isolados,9,7,13239
0,210,0,Empiristas,9,7,15808
0,210,1,Incrementalistas,9,8,16065
0,210,2,Evolucionistas,9,7,16066
0,210,3,Isolados,9,7,14777
0,215,0,Empiristas,9,7,17507
0,215,1,Incrementalistas,9,8,17765
0,215,2,Evolucionistas,9,7,17763
0,215,3,Isolados,9,7,16476
0,220,0,Empiristas,9,7,19382
0,220,1,Incrementalistas,9,8,19641
0,220,2,Evolucionistas,9,8,19637
0,220,3,Isolados,9,7,18350
0,225,0,Empiristas,9,7,21452
0,225,1,Incrementalistas,9,8,21712
0,225,2,Evolucionistas,9,8,21705
0,225,3,Isolados,9,7,20419
0,230,0,Empiristas,9,8,23738
0,230,1,Incrementalistas,9,8,23998
0,230,2,Evolucionistas,9,8,23991
0,230,3,Isolados,9,7,22705
0,235,0,Empiristas,9,8,26218
0,235,1,Incrementalistas,9,8,26477
0,235,2,Evolucionistas,9,8,26471
0,235,3,Isolados,9,7,25185
0,240,0,Empiristas,9,8,28718
0,240,1,Incrementalistas,9,8,28977
0,240,2,Evolucionistas,9,8,28971
0,240,3,Isolados,9,7,27685
0,245,0,Empiristas,9,8,31218
0,245,1,Incrementalistas,9,8,31477
0,245,2,Evolucionistas,9,8,31471
0,245,3,Isolados,9,7,30185
0,250,0,Empiristas,9,8,33718
0,250,1,Incrementalistas,9,8,33977
0,250,2,Evolucionistas,9,8,33971
