rodada,ano,civilizacao,cultura,classe,score,primeira_do_universo,por_contato
0,0,0,Carbono/agua,"dispersiva",-4.34294e-07,1,0
0,0,3,Carbono/metano,"dispersiva",-4.34294e-07,0,0
0,1,2,Carbono/acido sulfurico,"dispersiva",-0.30103,0,0
0,1,4,Silicio/agua,"dispersiva",-0.232103,0,0
0,1,5,Silicio/acido sulfurico,"dispersiva",-0.343412,0,0
0,2,4,Silicio/agua,"banda plana nao isolada [interferencia], 3 sitios",6,1,0
0,5,4,Silicio/agua,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,1,0
0,6,1,Carbono/amonia,"dispersiva",-0.214062,0,0
0,6,3,Carbono/metano,"banda plana nao isolada [interferencia], 4 sitios",6,1,0
0,6,4,Silicio/agua,"banda plana isolada [desbalanco de subredes], 3 sitios",7.6417,1,0
0,12,3,Carbono/metano,"banda plana isolada [interferencia], 4 sitios",6.35559,1,0
0,12,5,Silicio/acido sulfurico,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
0,14,5,Silicio/acido sulfurico,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
0,18,5,Silicio/acido sulfurico,"banda plana isolada [interferencia], 3 sitios",7.14193,1,0
0,20,5,Silicio/acido sulfurico,"banda plana isolada [desbalanco de subredes], 3 sitios",6.69444,0,0
0,21,0,Carbono/agua,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
0,26,0,Carbono/agua,"banda plana isolada [interferencia], 4 sitios",6.18716,0,0
0,28,4,Silicio/agua,"banda plana isolada [interferencia], 3 sitios",7.23805,0,0
0,35,2,Carbono/acido sulfurico,"banda plana isolada [interferencia], 4 sitios",6.21162,0,0
0,41,2,Carbono/acido sulfurico,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
0,44,1,Carbono/amonia,"banda plana isolada [interferencia], 4 sitios",6.18941,0,0
0,53,1,Carbono/amonia,"banda plana nao isolada [interferencia], 4 sitios",6.14556,0,0
0,54,2,Carbono/acido sulfurico,"dispersiva",-0.0356383,0,0
0,54,2,Carbono/acido sulfurico,"banda plana isolada [interferencia], 4 sitios",6.30482,0,0
0,55,2,Carbono/acido sulfurico,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
0,56,4,Silicio/agua,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
0,57,4,Silicio/agua,"banda plana isolada [interferencia], 4 sitios",7.24793,0,0
0,59,1,Carbono/amonia,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
0,61,1,Carbono/amonia,"banda plana isolada [interferencia], 3 sitios",6.66294,0,0
0,67,1,Carbono/amonia,"banda plana isolada [desbalanco de subredes], 3 sitios",6.50526,0,0
0,73,1,Carbono/amonia,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
0,90,5,Silicio/acido sulfurico,"banda plana isolada [desbalanco de subredes], 3 sitios",9,0,0
0,90,5,Silicio/acido sulfurico,"dispersiva",-0.510018,0,0
0,93,5,Silicio/acido sulfurico,"banda plana isolada [interferencia], 3 sitios",8.54692,0,0
0,99,2,Carbono/acido sulfurico,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
0,100,0,Carbono/agua,"banda plana isolada [interferencia], 4 sitios",8.47183,0,0
0,101,0,Carbono/agua,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
0,101,5,Silicio/acido sulfurico,"banda plana isolada [interferencia], 4 sitios",6.26649,0,0
0,105,2,Carbono/acido sulfurico,"quase plana isolada, 4 sitios",3.63993,1,0
0,105,2,Carbono/acido sulfurico,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
0,109,2,Carbono/acido sulfurico,"banda plana isolada [interferencia], 3 sitios",7.48328,0,0
0,113,2,Carbono/acido sulfurico,"quase plana nao isolada, 4 sitios",2.58657,1,0
0,114,2,Carbono/acido sulfurico,"banda plana isolada [desbalanco de subredes], 3 sitios",8.02105,0,0
0,115,0,Carbono/agua,"banda plana isolada [desbalanco de subredes], 3 sitios",7.84117,0,0
0,119,5,Silicio/acido sulfurico,"banda plana nao isolada [interferencia], 4 sitios",6,0,0
0,124,0,Carbono/agua,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
0,125,2,Carbono/acido sulfurico,"dispersiva",-0.0369421,0,0
0,128,2,Carbono/acido sulfurico,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
0,129,0,Carbono/agua,"banda plana isolada [interferencia], 3 sitios",6.59,0,0
0,133,3,Carbono/metano,"banda plana isolada [desbalanco de subredes], 3 sitios",8.07989,0,0
0,134,0,Carbono/agua,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
0,137,3,Carbono/metano,"banda plana nao isolada [desbalanco de subredes], 3 sitios",6,0,0
0,137,3,Carbono/metano,"banda plana nao isolada [interferencia], 3 sitios",6,0,0
0,138,3,Carbono/metano,"banda plana isolada [interferencia], 3 sitios",7.55952,0,0
