rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,0,0,Carbono/agua,0.0131179,1,5
0,0,1,Carbono/amonia,nan,0,4
0,0,2,Carbono/acido sulfurico,nan,0,7
0,0,3,Carbono/metano,-4.34294e-07,1,2
0,0,4,Silicio/agua,nan,0,5
0,0,5,Silicio/acido sulfurico,nan,0,7
0,5,0,Carbono/agua,0.10786,1,33
0,5,1,Carbono/amonia,nan,0,24
0,5,2,Carbono/acido sulfurico,-0.13416,1,43
0,5,3,Carbono/metano,0.273711,1,15
0,5,4,Silicio/agua,6,3,25
0,5,5,Silicio/acido sulfurico,0.195171,1,47
0,10,0,Carbono/agua,0.10786,1,64
0,10,1,Carbono/amonia,-4.34294e-07,1,44
0,10,2,Carbono/acido sulfurico,-0.0263661,1,81
0,10,3,Carbono/metano,6.05943,2,29
0,10,4,Silicio/agua,7.6417,4,40
0,10,5,Silicio/acido sulfurico,0.224541,1,92
0,15,0,Carbono/agua,0.127732,1,98
0,15,1,Carbono/amonia,-4.34294e-07,1,68
0,15,2,Carbono/acido sulfurico,0.117591,1,124
0,15,3,Carbono/metano,6.47217,3,46
0,15,4,Silicio/agua,7.77444,4,58
0,15,5,Silicio/acido sulfurico,6,3,140
0,20,0,Carbono/agua,0.240988,1,136
0,20,1,Carbono/amonia,-4.34294e-07,1,95
0,20,2,Carbono/acido sulfurico,0.163292,1,174
0,20,3,Carbono/metano,7.07498,3,63
0,20,4,Silicio/agua,7.77444,4,77
0,20,5,Silicio/acido sulfurico,7.64272,5,194
0,25,0,Carbono/agua,6,2,178
0,25,1,Carbono/amonia,0.0148607,1,123
0,25,2,Carbono/acido sulfurico,0.163292,1,229
0,25,3,Carbono/metano,7.07498,3,81
0,25,4,Silicio/agua,8.54062,4,100
0,25,5,Silicio/acido sulfurico,7.64272,5,253
0,30,0,Carbono/agua,6.71704,3,226
0,30,1,Carbono/amonia,0.0148607,1,154
0,30,2,Carbono/acido sulfurico,0.29126,1,290
0,30,3,Carbono/metano,7.07498,3,101
0,30,4,Silicio/agua,8.54062,5,141
0,30,5,Silicio/acido sulfurico,8.54062,5,319
0,35,0,Carbono/agua,6.71704,3,278
0,35,1,Carbono/amonia,0.217405,1,192
0,35,2,Carbono/acido sulfurico,6.21162,2,356
0,35,3,Carbono/metano,7.07498,3,125
0,35,4,Silicio/agua,9,5,193
0,35,5,Silicio/acido sulfurico,8.54062,5,392
0,40,0,Carbono/agua,7.13028,3,334
0,40,1,Carbono/amonia,0.217405,1,230
0,40,2,Carbono/acido sulfurico,6.21162,2,431
0,40,3,Carbono/metano,7.07498,3,150
0,40,4,Silicio/agua,9,5,252
0,40,5,Silicio/acido sulfurico,9,5,471
0,45,0,Carbono/agua,7.20024,3,397
0,45,1,Carbono/amonia,6.18941,2,274
0,45,2,Carbono/acido sulfurico,6.38624,3,511
0,45,3,Carbono/metano,7.07498,3,178
0,45,4,Silicio/agua,9,5,316
0,45,5,Silicio/acido sulfurico,9,5,560
0,50,0,Carbono/agua,7.33387,3,466
0,50,1,Carbono/amonia,6.23452,2,322
0,50,2,Carbono/acido sulfurico,7.14183,3,599
0,50,3,Carbono/metano,7.07498,3,208
0,50,4,Silicio/agua,9,5,388
0,50,5,Silicio/acido sulfurico,9,5,657
0,55,0,Carbono/agua,7.96732,3,543
0,55,1,Carbono/amonia,6.23452,3,374
0,55,2,Carbono/acido sulfurico,7.14183,3,678
0,55,3,Carbono/metano,7.07498,3,242
0,55,4,Silicio/agua,9,5,467
0,55,5,Silicio/acido sulfurico,9,5,763
0,60,0,Carbono/agua,7.96732,3,629
0,60,1,Carbono/amonia,7.28984,4,432
0,60,2,Carbono/acido sulfurico,7.14183,3,732
0,60,3,Carbono/metano,7.07498,3,280
0,60,4,Silicio/agua,9,7,556
0,60,5,Silicio/acido sulfurico,9,5,881
0,65,0,Carbono/agua,7.96732,3,722
0,65,1,Carbono/amonia,7.34986,5,497
0,65,2,Carbono/acido sulfurico,7.37567,3,792
0,65,3,Carbono/metano,7.48335,3,322
0,65,4,Silicio/agua,9,7,653
0,65,5,Silicio/acido sulfurico,9,5,1012
0,70,0,Carbono/agua,7.96732,3,826
0,70,1,Carbono/amonia,9,6,567
0,70,2,Carbono/acido sulfurico,7.37567,3,859
0,70,3,Carbono/metano,7.7007,3,368
0,70,4,Silicio/agua,9,7,759
0,70,5,Silicio/acido sulfurico,9,5,1158
0,75,0,Carbono/agua,8.81701,3,940
0,75,1,Carbono/amonia,9,7,645
0,75,2,Carbono/acido sulfurico,7.63267,3,931
0,75,3,Carbono/metano,7.7007,3,418
0,75,4,Silicio/agua,9,7,877
0,75,5,Silicio/acido sulfurico,9,5,1319
0,80,0,Carbono/agua,9,3,1065
0,80,1,Carbono/amonia,9,7,732
0,80,2,Carbono/acido sulfurico,7.91116,3,1061
0,80,3,Carbono/metano,7.74094,3,474
0,80,4,Silicio/agua,9,7,1007
0,80,5,Silicio/acido sulfurico,9,5,1496
0,85,0,Carbono/agua,9,3,1203
0,85,1,Carbono/amonia,9,7,827
0,85,2,Carbono/acido sulfurico,8.48619,3,1239
0,85,3,Carbono/metano,8.4,3,535
0,85,4,Silicio/agua,9,7,1151
0,85,5,Silicio/acido sulfurico,9,5,1692
0,90,0,Carbono/agua,9,3,1356
0,90,1,Carbono/amonia,9,7,931
0,90,2,Carbono/acido sulfurico,8.84003,3,1436
0,90,3,Carbono/metano,8.4,3,602
0,90,4,Silicio/agua,9,7,1309
0,90,5,Silicio/acido sulfurico,9,4,1884
0,95,0,Carbono/agua,9,3,1525
0,95,1,Carbono/amonia,9,7,1049
0,95,2,Carbono/acido sulfurico,9,3,1654
0,95,3,Carbono/metano,8.4,3,678
0,95,4,Silicio/agua,9,7,1485
0,95,5,Silicio/acido sulfurico,9,5,2002
0,100,0,Carbono/agua,9,2,1692
0,100,1,Carbono/amonia,9,7,1176
0,100,2,Carbono/acido sulfurico,9,4,1894
0,100,3,Carbono/metano,8.8083,3,761
0,100,4,Silicio/agua,9,7,1678
0,100,5,Silicio/acido sulfurico,9,5,2134
0,105,0,Carbono/agua,9,3,1794
0,105,1,Carbono/amonia,9,7,1318
0,105,2,Carbono/acido sulfurico,9,6,2157
0,105,3,Carbono/metano,9,3,853
0,105,4,Silicio/agua,9,7,1891
0,105,5,Silicio/acido sulfurico,9,6,2279
0,110,0,Carbono/agua,9,3,1909
0,110,1,Carbono/amonia,9,7,1475
0,110,2,Carbono/acido sulfurico,9,7,2447
0,110,3,Carbono/metano,9,3,953
0,110,4,Silicio/agua,9,7,2126
0,110,5,Silicio/acido sulfurico,9,6,2439
0,115,0,Carbono/agua,9,4,2035
0,115,1,Carbono/amonia,9,7,1649
0,115,2,Carbono/acido sulfurico,9,9,2768
0,115,3,Carbono/metano,9,3,1065
0,115,4,Silicio/agua,9,7,2387
0,115,5,Silicio/acido sulfurico,9,6,2688
0,120,0,Carbono/agua,9,4,2174
0,120,1,Carbono/amonia,9,7,1842
0,120,2,Carbono/acido sulfurico,9,9,3124
0,120,3,Carbono/metano,9,3,1189
0,120,4,Silicio/agua,9,7,2675
0,120,5,Silicio/acido sulfurico,9,7,3078
0,125,0,Carbono/agua,9,5,2389
0,125,1,Carbono/amonia,9,7,2053
0,125,2,Carbono/acido sulfurico,9,7,3476
0,125,3,Carbono/metano,9,3,1325
0,125,4,Silicio/agua,9,7,2993
0,125,5,Silicio/acido sulfurico,9,7,3508
0,130,0,Carbono/agua,9,6,2727
0,130,1,Carbono/amonia,9,7,2288
0,130,2,Carbono/acido sulfurico,9,8,3692
0,130,3,Carbono/metano,9,3,1476
0,130,4,Silicio/agua,9,7,3344
0,130,5,Silicio/acido sulfurico,9,7,3984
0,135,0,Carbono/agua,9,7,3099
0,135,1,Carbono/amonia,9,7,2547
0,135,2,Carbono/acido sulfurico,9,8,3931
0,135,3,Carbono/metano,9,4,1640
0,135,4,Silicio/agua,9,7,3732
0,135,5,Silicio/acido sulfurico,9,7,4508
0,140,0,Carbono/agua,9,7,3511
0,140,1,Carbono/amonia,9,7,2833
0,140,2,Carbono/acido sulfurico,9,8,4195
0,140,3,Carbono/metano,9,7,1823
0,140,4,Silicio/agua,9,7,4161
0,140,5,Silicio/acido sulfurico,9,7,5086
0,145,0,Carbono/agua,9,7,3964
0,145,1,Carbono/amonia,9,7,3148
0,145,2,Carbono/acido sulfurico,9,8,4487
0,145,3,Carbono/metano,9,7,2025
0,145,4,Silicio/agua,9,7,4634
0,145,5,Silicio/acido sulfurico,9,7,5725
0,150,0,Carbono/agua,9,7,4466
0,150,1,Carbono/amonia,9,7,3494
0,150,2,Carbono/acido sulfurico,9,8,4942
0,150,3,Carbono/metano,9,7,2248
0,150,4,Silicio/agua,9,7,5156
0,150,5,Silicio/acido sulfurico,9,7,6431
0,155,0,Carbono/agua,9,7,5021
0,155,1,Carbono/amonia,9,7,3877
0,155,2,Carbono/acido sulfurico,9,9,5653
0,155,3,Carbono/metano,9,8,2495
0,155,4,Silicio/agua,9,7,5732
0,155,5,Silicio/acido sulfurico,9,7,7209
0,160,0,Carbono/agua,9,7,5634
0,160,1,Carbono/amonia,9,7,4300
0,160,2,Carbono/acido sulfurico,9,9,6438
0,160,3,Carbono/metano,9,8,2765
0,160,4,Silicio/agua,9,7,6368
0,160,5,Silicio/acido sulfurico,9,7,8069
0,165,0,Carbono/agua,9,7,6310
0,165,1,Carbono/amonia,9,7,4768
0,165,2,Carbono/acido sulfurico,9,9,7304
0,165,3,Carbono/metano,9,8,3065
0,165,4,Silicio/agua,9,7,7071
0,165,5,Silicio/acido sulfurico,9,7,9018
0,170,0,Carbono/agua,9,7,7060
0,170,1,Carbono/amonia,9,7,5284
0,170,2,Carbono/acido sulfurico,9,9,8261
