rodada,ano,civilizacao,cultura,classe,score,primeira_do_universo,por_contato
0,0,0,Empiristas,"nucleos efemeros",47.4434,1,0
0,0,1,Incrementalistas,"Z=4 Be (vida longa)",4,1,0
0,0,1,Incrementalistas,"nucleos efemeros",34.6871,0,0
0,0,1,Incrementalistas,"Z=38 Sr (vida longa)",38,1,0
0,0,2,Evolucionistas,"nucleos efemeros",12.2653,0,0
0,0,3,Isolados,"nucleos efemeros",12.1084,0,0
0,0,3,Isolados,"Z=69 Tm (vida longa)",69,1,0
0,0,3,Isolados,"Z=66 Dy (vida longa)",66,1,0
0,1,0,Empiristas,"Z=97 Bk (vida longa)",97,1,0
0,1,0,Empiristas,"Z=98 Cf (vida longa)",98,1,0
0,1,0,Empiristas,"Z=100 Fm (vida longa)",100,1,0
0,1,1,Incrementalistas,"Z=41 Nb (vida longa)",41,1,0
0,1,2,Evolucionistas,"Z=114 Fl (vida longa)",114,1,0
0,1,3,Isolados,"Z=68 Er (vida longa)",68,1,0
0,1,1,Incrementalistas,"Z=100 Fm (vida longa)",100,0,1
0,1,1,Incrementalistas,"Z=97 Bk (vida longa)",97,0,1
0,1,0,Empiristas,"Z=4 Be (vida longa)",4,0,1
0,2,0,Empiristas,"Z=101 Md (vida longa)",101,1,0
0,2,0,Empiristas,"Z=82 Pb (vida longa)",82,1,0
0,2,1,Incrementalistas,"Z=98 Cf (vida longa)",98,0,0
0,2,1,Incrementalistas,"Z=99 Es (vida longa)",99,1,0
0,2,1,Incrementalistas,"Z=101 Md (vida longa)",101,0,0
0,2,1,Incrementalistas,"Z=40 Zr (vida longa)",40,1,0
0,2,3,Isolados,"Z=94 Pu (vida longa)",94,1,0
0,3,0,Empiristas,"Z=8 O (vida longa)",8,1,0
0,3,1,Incrementalistas,"Z=43 Tc (vida longa)",43,1,0
0,3,3,Isolados,"Z=43 Tc (vida longa)",43,0,0
0,3,3,Isolados,"Z=2 He (vida longa)",2,1,0
0,4,0,Empiristas,"Z=74 W (vida longa)",74,1,0
0,4,1,Incrementalistas,"Z=46 Pd (vida longa)",46,1,0
0,4,2,Evolucionistas,"Z=111 Rg (vida longa)",111,1,0
0,4,2,Evolucionistas,"Z=112 Cn (vida longa)",112,1,0
0,4,3,Isolados,"Z=70 Yb (vida longa)",70,1,0
0,5,1,Incrementalistas,"Z=96 Cm (vida longa)",96,1,0
0,5,3,Isolados,"Z=95 Am (vida longa)",95,1,0
0,6,0,Empiristas,"Z=99 Es (vida longa)",99,0,0
0,6,3,Isolados,"Z=96 Cm (vida longa)",96,0,0
