rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,0,0,Empiristas,94.0453,1,5
0,0,1,Incrementalistas,38,3,5
0,0,2,Evolucionistas,111.731,1,5
0,0,3,Isolados,69,3,5
0,5,0,Empiristas,101,9,32
0,5,1,Incrementalistas,101,13,33
0,5,2,Evolucionistas,114,4,31
0,5,3,Isolados,95,9,30
0,10,0,Empiristas,114,16,61
0,10,1,Incrementalistas,114,18,62
0,10,2,Evolucionistas,114,10,60
0,10,3,Isolados,96,15,59
0,15,0,Empiristas,114,20,93
0,15,1,Incrementalistas,114,22,93
0,15,2,Evolucionistas,114,11,91
0,15,3,Isolados,96,18,90
0,20,0,Empiristas,114,24,128
0,20,1,Incrementalistas,114,27,129
0,20,2,Evolucionistas,114,16,126
0,20,3,Isolados,96,23,125
0,25,0,Empiristas,114,31,166
0,25,1,Incrementalistas,114,30,168
0,25,2,Evolucionistas,114,16,165
0,25,3,Isolados,96,26,165
0,30,0,Empiristas,114,39,210
0,30,1,Incrementalistas,114,32,211
0,30,2,Evolucionistas,114,19,208
0,30,3,Isolados,96,28,209
0,35,0,Empiristas,114,42,258
0,35,1,Incrementalistas,115,36,260
0,35,2,Evolucionistas,115,21,256
0,35,3,Isolados,97,30,257
0,40,0,Empiristas,115,48,312
0,40,1,Incrementalistas,115,39,313
0,40,2,Evolucionistas,115,25,309
0,40,3,Isolados,98,34,311
0,45,0,Empiristas,115,54,371
0,45,1,Incrementalistas,115,39,373
0,45,2,Evolucionistas,115,28,367
0,45,3,Isolados,112,23,370
0,50,0,Empiristas,115,56,435
0,50,1,Incrementalistas,115,40,436
0,50,2,Evolucionistas,115,30,430
0,50,3,Isolados,112,30,403
0,55,0,Empiristas,115,63,508
0,55,1,Incrementalistas,115,42,509
0,55,2,Evolucionistas,115,30,501
0,55,3,Isolados,113,37,440
0,60,0,Empiristas,115,68,585
0,60,1,Incrementalistas,115,43,589
0,60,2,Evolucionistas,115,33,581
0,60,3,Isolados,115,30,480
0,65,0,Empiristas,115,71,671
0,65,1,Incrementalistas,115,47,677
0,65,2,Evolucionistas,115,35,668
0,65,3,Isolados,115,33,523
0,70,0,Empiristas,115,77,766
0,70,1,Incrementalistas,115,51,773
0,70,2,Evolucionistas,115,37,764
0,70,3,Isolados,115,35,571
0,75,0,Empiristas,115,79,872
0,75,1,Incrementalistas,115,54,879
0,75,2,Evolucionistas,115,41,870
0,75,3,Isolados,115,38,625
0,80,0,Empiristas,115,84,990
0,80,1,Incrementalistas,115,57,997
0,80,2,Evolucionistas,115,46,987
0,80,3,Isolados,115,42,684
0,85,0,Empiristas,115,89,1119
0,85,1,Incrementalistas,115,58,1126
0,85,2,Evolucionistas,115,49,1117
0,85,3,Isolados,115,44,788
0,90,0,Empiristas,115,95,1263
0,90,1,Incrementalistas,115,60,1269
0,90,2,Evolucionistas,115,51,1259
0,90,3,Isolados,115,46,931
0,95,0,Empiristas,115,100,1422
0,95,1,Incrementalistas,115,63,1427
0,95,2,Evolucionistas,115,53,1416
0,95,3,Isolados,115,51,1087
0,100,0,Empiristas,115,101,1596
0,100,1,Incrementalistas,115,66,1602
0,100,2,Evolucionistas,115,55,1590
0,100,3,Isolados,115,58,1262
0,105,0,Empiristas,115,102,1787
0,105,1,Incrementalistas,115,68,1795
0,105,2,Evolucionistas,115,61,1782
