rodada,ano,civilizacao,cultura,classe,score,primeira_do_universo,por_contato
0,0,0,Empiristas,"camada fechada (eta=0)",-0.02,1,0
0,0,0,Empiristas,"eta=1 (desbalanco=1, oculto=0)",0.86,1,0
0,0,1,Incrementalistas,"camada fechada (eta=0)",-0.2,0,0
0,0,1,Incrementalistas,"eta=1 (desbalanco=1, oculto=0)",0.94,0,0
0,0,2,Evolucionistas,"eta=1 (desbalanco=1, oculto=0)",0.92,0,0
0,0,2,Evolucionistas,"camada fechada (eta=0)",-0.04,0,0
0,0,3,Isolados,"eta=1 (desbalanco=1, oculto=0)",0.94,0,0
0,1,3,Isolados,"camada fechada (eta=0)",-0.08,0,0
0,4,2,Evolucionistas,"eta=2 (desbalanco=2, oculto=0)",1.88,1,0
0,12,3,Isolados,"eta=2 (desbalanco=2, oculto=0)",1.86,0,0
0,14,1,Incrementalistas,"eta=2 (desbalanco=2, oculto=0)",1.88,0,1
0,17,3,Isolados,"eta=2 (desbalanco=0, oculto=2)",5.7,1,0
0,18,0,Empiristas,"eta=2 (desbalanco=2, oculto=0)",1.88,0,1
0,54,0,Empiristas,"eta=3 (desbalanco=3, oculto=0)",2.76,1,0
0,56,2,Evolucionistas,"eta=3 (desbalanco=3, oculto=0)",2.76,0,1
0,57,1,Incrementalistas,"eta=3 (desbalanco=3, oculto=0)",2.76,0,1
0,81,3,Isolados,"eta=3 (desbalanco=3, oculto=0)",2.74,0,0
0,86,3,Isolados,"eta=3 (desbalanco=1, oculto=2)",6.68,1,0
0,99,3,Isolados,"eta=2 (desbalanco=0, oculto=2)",5.68,0,0
0,99,3,Isolados,"camada fechada (eta=0)",-0.3,0,0
0,124,3,Isolados,"eta=3 (desbalanco=3, oculto=0)",2.8,0,0
0,148,0,Empiristas,"eta=2 (desbalanco=2, oculto=0)",1.84,0,0
0,148,0,Empiristas,"eta=1 (desbalanco=1, oculto=0)",0.7,0,0
0,214,0,Empiristas,"eta=1 (desbalanco=1, oculto=0)",0.76,0,0
0,223,3,Isolados,"eta=3 (desbalanco=1, oculto=2)",6.7,0,0
0,223,3,Isolados,"camada fechada (eta=0)",-0.16,0,0
0,223,3,Isolados,"eta=2 (desbalanco=0, oculto=2)",5.68,0,0
0,223,3,Isolados,"eta=1 (desbalanco=1, oculto=0)",0.68,0,0
0,223,3,Isolados,"eta=3 (desbalanco=3, oculto=0)",2.76,0,0
0,227,2,Evolucionistas,"eta=4 (desbalanco=4, oculto=0)",3.72,1,0
0,237,1,Incrementalistas,"eta=4 (desbalanco=4, oculto=0)",3.72,0,1
0,241,0,Empiristas,"eta=4 (desbalanco=4, oculto=0)",3.72,0,1
1,0,0,Empiristas,"camada fechada (eta=0)",-0.1,1,0
1,0,0,Empiristas,"eta=1 (desbalanco=1, oculto=0)",0.9,1,0
1,0,2,Evolucionistas,"eta=1 (desbalanco=1, oculto=0)",0.88,0,0
1,0,3,Isolados,"camada fechada (eta=0)",-0.04,0,0
1,0,3,Isolados,"eta=1 (desbalanco=1, oculto=0)",0.94,0,0
1,1,1,Incrementalistas,"camada fechada (eta=0)",-0.02,0,0
1,1,1,Incrementalistas,"eta=1 (desbalanco=1, oculto=0)",0.82,0,0
1,1,2,Evolucionistas,"camada fechada (eta=0)",-0.08,0,0
1,2,0,Empiristas,"eta=2 (desbalanco=2, oculto=0)",1.76,1,0
1,4,0,Empiristas,"eta=3 (desbalanco=3, oculto=0)",2.76,1,0
1,4,2,Evolucionistas,"eta=2 (desbalanco=2, oculto=0)",1.88,0,0
1,4,1,Incrementalistas,"eta=2 (desbalanco=2, oculto=0)",1.88,0,1
1,6,1,Incrementalistas,"eta=3 (desbalanco=3, oculto=0)",2.76,0,1
1,9,2,Evolucionistas,"eta=3 (desbalanco=3, oculto=0)",2.76,0,1
1,26,0,Empiristas,"eta=3 (desbalanco=3, oculto=0)",2.8,0,1
1,68,0,Empiristas,"eta=3 (desbalanco=3, oculto=0)",2.78,0,0
1,68,0,Empiristas,"eta=2 (desbalanco=2, oculto=0)",1.7,0,0
1,74,3,Isolados,"eta=2 (desbalanco=2, oculto=0)",1.7,0,0
1,81,3,Isolados,"eta=3 (desbalanco=3, oculto=0)",2.74,0,0
1,92,1,Incrementalistas,"eta=1 (desbalanco=1, oculto=0)",0.74,0,0
1,93,3,Isolados,"eta=1 (desbalanco=1, oculto=0)",0.86,0,0
1,114,3,Isolados,"eta=1 (desbalanco=1, oculto=0)",0.84,0,0
1,114,3,Isolados,"eta=2 (desbalanco=2, oculto=0)",1.7,0,0
1,168,0,Empiristas,"eta=4 (desbalanco=4, oculto=0)",3.74,1,0
1,170,1,Incrementalistas,"eta=4 (desbalanco=4, oculto=0)",3.74,0,1
1,172,2,Evolucionistas,"eta=4 (desbalanco=4, oculto=0)",3.74,0,1
1,173,3,Isolados,"eta=4 (desbalanco=4, oculto=0)",3.7,0,0
1,208,0,Empiristas,"eta=2 (desbalanco=0, oculto=2)",5.74,1,0
1,213,1,Incrementalistas,"eta=2 (desbalanco=0, oculto=2)",5.78,0,1
1,214,0,Empiristas,"eta=3 (desbalanco=1, oculto=2)",6.68,1,0
1,214,2,Evolucionistas,"eta=2 (desbalanco=0, oculto=2)",5.78,0,1
1,216,1,Incrementalistas,"eta=3 (desbalanco=1, oculto=2)",6.7,0,0
1,218,2,Evolucionistas,"eta=3 (desbalanco=1, oculto=2)",6.72,0,1
1,225,0,Empiristas,"camada fechada (eta=0)",-0.08,0,0
1,225,0,Empiristas,"eta=2 (desbalanco=0, oculto=2)",5.74,0,0
1,226,0,Empiristas,"eta=3 (desbalanco=3, oculto=0)",2.68,0,0
1,258,0,Empiristas,"eta=4 (desbalanco=4, oculto=0)",3.74,0,1
1,297,3,Isolados,"eta=2 (desbalanco=0, oculto=2)",5.74,0,0
1,299,3,Isolados,"eta=3 (desbalanco=1, oculto=2)",6.7,0,0
2,0,0,Empiristas,"camada fechada (eta=0)",-0.04,1,0
2,0,0,Empiristas,"eta=1 (desbalanco=1, oculto=0)",0.88,1,0
2,0,1,Incrementalistas,"camada fechada (eta=0)",-0.06,0,0
2,0,2,Evolucionistas,"camada fechada (eta=0)",-0.04,0,0
2,0,2,Evolucionistas,"eta=1 (desbalanco=1, oculto=0)",0.94,0,0
2,0,3,Isolados,"camada fechada (eta=0)",-0.08,0,0
2,3,3,Isolados,"eta=1 (desbalanco=1, oculto=0)",0.9,0,0
2,3,1,Incrementalistas,"eta=1 (desbalanco=1, oculto=0)",0.94,0,1
2,18,0,Empiristas,"eta=2 (desbalanco=2, oculto=0)",1.78,1,0
2,22,2,Evolucionistas,"eta=2 (desbalanco=2, oculto=0)",1.88,0,0
2,22,3,Isolados,"eta=2 (desbalanco=2, oculto=0)",1.88,0,0
2,27,1,Incrementalistas,"eta=2 (desbalanco=2, oculto=0)",1.8,0,1
2,31,1,Incrementalistas,"eta=2 (desbalanco=2, oculto=0)",1.88,0,1
2,33,1,Incrementalistas,"eta=1 (desbalanco=1, oculto=0)",0.9,0,0
2,78,0,Empiristas,"eta=3 (desbalanco=3, oculto=0)",2.82,1,0
2,80,3,Isolados,"eta=3 (desbalanco=3, oculto=0)",2.8,0,0
2,83,1,Incrementalistas,"eta=3 (desbalanco=3, oculto=0)",2.82,0,1
2,86,0,Empiristas,"camada fechada (eta=0)",-0.04,0,0
2,87,2,Evolucionistas,"eta=3 (desbalanco=3, oculto=0)",2.82,0,1
2,236,3,Isolados,"eta=3 (desbalanco=3, oculto=0)",2.78,0,0
2,236,3,Isolados,"eta=1 (desbalanco=1, oculto=0)",0.94,0,0
2,236,3,Isolados,"eta=2 (desbalanco=2, oculto=0)",1.8,0,0
2,260,3,Isolados,"eta=4 (desbalanco=4, oculto=0)",3.74,1,0
2,270,3,Isolados,"eta=2 (desbalanco=0, oculto=2)",5.76,1,0
2,273,3,Isolados,"eta=3 (desbalanco=1, oculto=2)",6.7,1,0
2,276,0,Empiristas,"eta=2 (desbalanco=0, oculto=2)",5.76,0,0
2,281,1,Incrementalistas,"eta=2 (desbalanco=0, oculto=2)",5.78,0,1
2,282,2,Evolucionistas,"eta=2 (desbalanco=0, oculto=2)",5.78,0,1
2,284,1,Incrementalistas,"eta=2 (desbalanco=0, oculto=2)",5.78,0,1
2,290,0,Empiristas,"eta=3 (desbalanco=1, oculto=2)",6.7,0,0
2,290,1,Incrementalistas,"camada fechada (eta=0)",-0.3,0,0
2,291,1,Incrementalistas,"eta=2 (desbalanco=2, oculto=0)",1.68,0,0
2,291,1,Incrementalistas,"eta=3 (desbalanco=1, oculto=2)",6.68,0,0
2,297,2,Evolucionistas,"eta=3 (desbalanco=1, oculto=2)",6.72,0,1
2,300,3,Isolados,"eta=1 (desbalanco=1, oculto=0)",0.68,0,0
2,300,3,Isolados,"eta=3 (desbalanco=1, oculto=2)",6.68,0,0
3,0,0,Empiristas,"camada fechada (eta=0)",-0.06,1,0
3,0,1,Incrementalistas,"camada fechada (eta=0)",-0.08,0,0
3,0,2,Evolucionistas,"camada fechada (eta=0)",-0.08,0,0
3,0,2,Evolucionistas,"eta=1 (desbalanco=1, oculto=0)",0.9,1,0
3,0,3,Isolados,"camada fechada (eta=0)",-0.02,0,0
3,0,3,Isolados,"eta=1 (desbalanco=1, oculto=0)",0.82,0,0
3,1,0,Empiristas,"eta=1 (desbalanco=1, oculto=0)",0.9,0,0
3,3,1,Incrementalistas,"eta=1 (desbalanco=1, oculto=0)",0.92,0,0
3,24,1,Incrementalistas,"eta=2 (desbalanco=2, oculto=0)",1.82,1,0
3,25,2,Evolucionistas,"eta=2 (desbalanco=2, oculto=0)",1.86,0,0
3,28,0,Empiristas,"eta=2 (desbalanco=2, oculto=0)",1.82,0,1
3,32,3,Isolados,"eta=2 (desbalanco=2, oculto=0)",1.8,0,0
3,55,3,Isolados,"eta=3 (desbalanco=3, oculto=0)",2.76,1,0
3,67,0,Empiristas,"eta=1 (desbalanco=1, oculto=0)",0.86,0,0
3,88,0,Empiristas,"eta=2 (desbalanco=2, oculto=0)",1.84,0,0
3,90,2,Evolucionistas,"eta=3 (desbalanco=3, oculto=0)",2.7,0,0
3,90,0,Empiristas,"eta=3 (desbalanco=3, oculto=0)",2.7,0,1
