rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,0,0,Empiristas,-0.02,1,5
0,0,1,Incrementalistas,0.88,2,5
0,0,2,Evolucionistas,0.94,2,5
0,0,3,Isolados,-0.02,1,5
0,5,0,Empiristas,1.8,3,32
0,5,1,Incrementalistas,1.86,3,32
0,5,2,Evolucionistas,1.86,3,32
0,5,3,Isolados,0.94,2,30
0,10,0,Empiristas,1.8,3,62
0,10,1,Incrementalistas,1.86,3,62
0,10,2,Evolucionistas,1.86,3,60
0,10,3,Isolados,0.94,2,60
0,15,0,Empiristas,1.8,3,94
0,15,1,Incrementalistas,1.86,3,94
0,15,2,Evolucionistas,1.86,3,93
0,15,3,Isolados,0.94,2,92
0,20,0,Empiristas,1.86,3,131
0,20,1,Incrementalistas,1.86,3,130
0,20,2,Evolucionistas,1.86,3,127
0,20,3,Isolados,0.94,2,127
0,25,0,Empiristas,1.86,3,170
0,25,1,Incrementalistas,1.86,3,169
0,25,2,Evolucionistas,1.86,3,165
0,25,3,Isolados,0.94,2,168
0,30,0,Empiristas,2.78,4,214
0,30,1,Incrementalistas,2.78,4,213
0,30,2,Evolucionistas,1.86,3,207
0,30,3,Isolados,1.88,3,211
0,35,0,Empiristas,2.8,4,263
0,35,1,Incrementalistas,2.8,4,261
0,35,2,Evolucionistas,1.86,3,256
0,35,3,Isolados,1.88,3,259
0,40,0,Empiristas,2.8,4,315
0,40,1,Incrementalistas,3.7,5,315
0,40,2,Evolucionistas,2.8,4,308
0,40,3,Isolados,1.88,3,311
0,45,0,Empiristas,2.8,4,375
0,45,1,Incrementalistas,3.7,5,373
0,45,2,Evolucionistas,3.7,5,367
0,45,3,Isolados,1.88,3,369
0,50,0,Empiristas,2.8,4,427
0,50,1,Incrementalistas,3.7,5,437
0,50,2,Evolucionistas,3.7,5,432
0,50,3,Isolados,1.88,3,433
0,55,0,Empiristas,3.74,5,462
0,55,1,Incrementalistas,3.74,5,508
0,55,2,Evolucionistas,3.74,5,504
0,55,3,Isolados,2.8,4,504
0,60,0,Empiristas,3.74,5,501
0,60,1,Incrementalistas,3.74,5,587
0,60,2,Evolucionistas,3.74,5,584
0,60,3,Isolados,2.8,4,583
0,65,0,Empiristas,3.74,5,544
0,65,1,Incrementalistas,3.74,5,675
0,65,2,Evolucionistas,3.74,5,670
0,65,3,Isolados,2.82,4,670
0,70,0,Empiristas,3.74,5,591
0,70,1,Incrementalistas,3.74,5,770
0,70,2,Evolucionistas,3.74,5,764
0,70,3,Isolados,2.82,4,767
0,75,0,Empiristas,3.74,5,676
0,75,1,Incrementalistas,3.74,5,875
0,75,2,Evolucionistas,3.74,5,870
0,75,3,Isolados,3.74,5,874
0,80,0,Empiristas,3.74,5,794
0,80,1,Incrementalistas,4.68,6,992
0,80,2,Evolucionistas,3.74,5,989
0,80,3,Isolados,3.76,5,989
0,85,0,Empiristas,3.74,5,923
0,85,1,Incrementalistas,4.7,6,1121
0,85,2,Evolucionistas,4.68,6,1119
0,85,3,Isolados,3.76,5,1118
0,90,0,Empiristas,3.74,5,1066
0,90,1,Incrementalistas,4.7,6,1264
0,90,2,Evolucionistas,4.7,6,1261
0,90,3,Isolados,3.76,5,1262
0,95,0,Empiristas,5.74,6,1224
0,95,1,Incrementalistas,4.7,6,1422
0,95,2,Evolucionistas,4.7,6,1420
0,95,3,Isolados,3.76,5,1419
0,100,0,Empiristas,5.74,7,1398
0,100,1,Incrementalistas,5.74,7,1596
0,100,2,Evolucionistas,5.74,7,1594
0,100,3,Isolados,3.76,5,1593
0,105,0,Empiristas,6.7,8,1589
0,105,1,Incrementalistas,6.7,8,1788
0,105,2,Evolucionistas,6.7,8,1787
0,105,3,Isolados,3.76,5,1785
0,110,0,Empiristas,6.72,8,1803
0,110,1,Incrementalistas,6.72,8,2000
0,110,2,Evolucionistas,6.72,8,1999
0,110,3,Isolados,4.7,6,1998
0,115,0,Empiristas,6.72,8,2037
0,115,1,Incrementalistas,6.72,8,2233
0,115,2,Evolucionistas,6.72,8,2232
0,115,3,Isolados,4.7,6,2232
0,120,0,Empiristas,6.72,8,2295
0,120,1,Incrementalistas,6.72,8,2438
0,120,2,Evolucionistas,6.72,8,2491
