rodada,ano,civilizacao,cultura,classe,score,primeira_do_universo,por_contato
0,0,0,Carbono/agua,"camada fechada (eta=0)",-0.3,1,0
0,0,1,Carbono/amonia,"camada fechada (eta=0)",-0.12,0,0
0,0,1,Carbono/amonia,"eta=1 (desbalanco=1, oculto=0)",0.84,1,0
0,0,2,Carbono/acido sulfurico,"eta=1 (desbalanco=1, oculto=0)",0.68,0,0
0,0,2,Carbono/acido sulfurico,"camada fechada (eta=0)",-0.04,0,0
0,0,3,Carbono/metano,"camada fechada (eta=0)",-0.02,0,0
0,0,4,Silicio/agua,"camada fechada (eta=0)",-0.22,0,0
0,0,5,Silicio/acido sulfurico,"eta=2 (desbalanco=2, oculto=0)",1.74,1,0
0,0,5,Silicio/acido sulfurico,"camada fechada (eta=0)",-0.28,0,0
0,0,5,Silicio/acido sulfurico,"eta=1 (desbalanco=1, oculto=0)",0.68,0,0
0,1,3,Carbono/metano,"eta=1 (desbalanco=1, oculto=0)",0.78,0,0
0,2,0,Carbono/agua,"eta=1 (desbalanco=1, oculto=0)",0.92,0,0
0,2,4,Silicio/agua,"eta=1 (desbalanco=1, oculto=0)",0.78,0,0
0,5,2,Carbono/acido sulfurico,"eta=2 (desbalanco=2, oculto=0)",1.82,0,0
0,5,4,Silicio/agua,"eta=2 (desbalanco=2, oculto=0)",1.82,0,0
0,6,3,Carbono/metano,"eta=2 (desbalanco=2, oculto=0)",1.78,0,0
0,11,0,Carbono/agua,"eta=2 (desbalanco=2, oculto=0)",1.86,0,0
0,12,1,Carbono/amonia,"eta=2 (desbalanco=2, oculto=0)",1.84,0,0
0,14,2,Carbono/acido sulfurico,"eta=3 (desbalanco=3, oculto=0)",2.68,1,0
0,15,3,Carbono/metano,"eta=3 (desbalanco=3, oculto=0)",2.72,0,0
0,19,0,Carbono/agua,"eta=3 (desbalanco=3, oculto=0)",2.78,0,0
0,21,5,Silicio/acido sulfurico,"eta=3 (desbalanco=3, oculto=0)",2.72,0,0
0,24,4,Silicio/agua,"eta=3 (desbalanco=3, oculto=0)",2.82,0,0
0,32,5,Silicio/acido sulfurico,"eta=4 (desbalanco=4, oculto=0)",3.7,1,0
0,34,2,Carbono/acido sulfurico,"eta=4 (desbalanco=4, oculto=0)",3.68,0,0
0,41,4,Silicio/agua,"eta=4 (desbalanco=4, oculto=0)",3.76,0,0
0,43,3,Carbono/metano,"eta=2 (desbalanco=2, oculto=0)",1.74,0,0
0,54,4,Silicio/agua,"eta=3 (desbalanco=3, oculto=0)",2.78,0,0
0,63,1,Carbono/amonia,"eta=3 (desbalanco=3, oculto=0)",2.8,0,0
0,65,2,Carbono/acido sulfurico,"eta=3 (desbalanco=3, oculto=0)",2.76,0,0
0,65,2,Carbono/acido sulfurico,"eta=4 (desbalanco=4, oculto=0)",3.7,0,0
0,65,2,Carbono/acido sulfurico,"eta=1 (desbalanco=1, oculto=0)",0.82,0,0
0,96,5,Silicio/acido sulfurico,"eta=2 (desbalanco=0, oculto=2)",5.72,1,0
0,105,2,Carbono/acido sulfurico,"eta=5 (desbalanco=5, oculto=0)",4.68,1,0
