rodada,ano,civilizacao,cultura,melhor,classes,experimentos
0,0,0,Carbono/agua,-0.02,1,5
0,0,1,Carbono/amonia,0.86,2,4
0,0,2,Carbono/acido sulfurico,0.92,2,7
0,0,3,Carbono/metano,-0.02,1,2
0,0,4,Silicio/agua,-0.12,1,5
0,0,5,Silicio/acido sulfurico,1.74,3,8
0,5,0,Carbono/agua,0.94,2,32
0,5,1,Carbono/amonia,0.94,2,25
0,5,2,Carbono/acido sulfurico,1.82,3,44
0,5,3,Carbono/metano,0.78,2,15
0,5,4,Silicio/agua,1.82,3,34
0,5,5,Silicio/acido sulfurico,1.86,3,49
0,10,0,Carbono/agua,0.94,2,63
0,10,1,Carbono/amonia,0.94,2,48
0,10,2,Carbono/acido sulfurico,1.82,3,85
0,10,3,Carbono/metano,1.78,3,30
0,10,4,Silicio/agua,1.86,3,67
0,10,5,Silicio/acido sulfurico,1.86,3,93
0,15,0,Carbono/agua,1.88,3,98
0,15,1,Carbono/amonia,1.84,3,73
0,15,2,Carbono/acido sulfurico,2.68,4,130
0,15,3,Carbono/metano,2.72,4,45
0,15,4,Silicio/agua,1.86,3,103
0,15,5,Silicio/acido sulfurico,1.88,3,143
0,20,0,Carbono/agua,2.78,4,136
0,20,1,Carbono/amonia,1.84,3,100
0,20,2,Carbono/acido sulfurico,2.68,4,179
0,20,3,Carbono/metano,2.72,4,61
0,20,4,Silicio/agua,1.86,3,144
0,20,5,Silicio/acido sulfurico,1.88,3,197
0,25,0,Carbono/agua,2.78,4,178
0,25,1,Carbono/amonia,1.84,3,130
0,25,2,Carbono/acido sulfurico,2.68,4,234
0,25,3,Carbono/metano,2.72,4,78
0,25,4,Silicio/agua,2.82,4,188
0,25,5,Silicio/acido sulfurico,2.74,4,257
0,30,0,Carbono/agua,2.78,4,224
0,30,1,Carbono/amonia,1.86,3,163
0,30,2,Carbono/acido sulfurico,2.74,4,293
0,30,3,Carbono/metano,2.72,4,100
0,30,4,Silicio/agua,2.82,4,235
0,30,5,Silicio/acido sulfurico,2.8,4,323
0,35,0,Carbono/agua,2.78,4,275
0,35,1,Carbono/amonia,1.86,3,197
0,35,2,Carbono/acido sulfurico,3.7,5,359
0,35,3,Carbono/metano,2.72,4,123
0,35,4,Silicio/agua,2.82,4,288
0,35,5,Silicio/acido sulfurico,3.7,5,395
0,40,0,Carbono/agua,2.78,4,332
0,40,1,Carbono/amonia,1.86,3,238
0,40,2,Carbono/acido sulfurico,3.74,5,432
0,40,3,Carbono/metano,2.74,4,149
0,40,4,Silicio/agua,2.82,4,349
0,40,5,Silicio/acido sulfurico,3.7,5,476
0,45,0,Carbono/agua,2.8,4,395
0,45,1,Carbono/amonia,1.86,3,283
0,45,2,Carbono/acido sulfurico,3.74,5,512
0,45,3,Carbono/metano,2.74,4,168
0,45,4,Silicio/agua,3.76,5,415
0,45,5,Silicio/acido sulfurico,3.72,5,565
0,50,0,Carbono/agua,2.8,4,464
0,50,1,Carbono/amonia,1.86,3,331
0,50,2,Carbono/acido sulfurico,3.74,5,601
0,50,3,Carbono/metano,2.74,4,183
0,50,4,Silicio/agua,3.76,5,487
0,50,5,Silicio/acido sulfurico,3.72,5,662
0,55,0,Carbono/agua,2.8,4,541
0,55,1,Carbono/amonia,1.88,3,383
0,55,2,Carbono/acido sulfurico,3.74,5,698
0,55,3,Carbono/metano,2.78,4,201
0,55,4,Silicio/agua,3.76,5,549
0,55,5,Silicio/acido sulfurico,3.72,5,768
0,60,0,Carbono/agua,2.8,4,627
0,60,1,Carbono/amonia,1.88,3,441
0,60,2,Carbono/acido sulfurico,3.74,5,807
0,60,3,Carbono/metano,2.78,4,220
0,60,4,Silicio/agua,3.76,5,593
0,60,5,Silicio/acido sulfurico,3.72,5,887
0,65,0,Carbono/agua,2.8,4,720
0,65,1,Carbono/amonia,2.8,4,507
0,65,2,Carbono/acido sulfurico,3.74,5,914
0,65,3,Carbono/metano,2.78,4,241
0,65,4,Silicio/agua,3.76,5,640
0,65,5,Silicio/acido sulfurico,3.74,5,1018
0,70,0,Carbono/agua,2.82,4,823
0,70,1,Carbono/amonia,2.82,4,579
0,70,2,Carbono/acido sulfurico,3.74,5,980
0,70,3,Carbono/metano,2.78,4,264
0,70,4,Silicio/agua,3.76,5,693
0,70,5,Silicio/acido sulfurico,3.74,5,1162
0,75,0,Carbono/agua,2.82,4,938
0,75,1,Carbono/amonia,2.82,4,658
0,75,2,Carbono/acido sulfurico,3.76,5,1052
0,75,3,Carbono/metano,2.78,4,290
0,75,4,Silicio/agua,3.76,5,751
0,75,5,Silicio/acido sulfurico,3.74,5,1323
0,80,0,Carbono/agua,2.82,4,1064
0,80,1,Carbono/amonia,2.82,4,743
0,80,2,Carbono/acido sulfurico,3.76,5,1132
0,80,3,Carbono/metano,2.78,4,319
0,80,4,Silicio/agua,3.76,5,854
0,80,5,Silicio/acido sulfurico,3.74,5,1499
0,85,0,Carbono/agua,2.82,4,1203
0,85,1,Carbono/amonia,2.82,4,838
0,85,2,Carbono/acido sulfurico,3.76,5,1221
0,85,3,Carbono/metano,2.78,4,374
0,85,4,Silicio/agua,3.76,5,998
0,85,5,Silicio/acido sulfurico,3.74,5,1693
0,90,0,Carbono/agua,2.82,4,1356
0,90,1,Carbono/amonia,2.82,4,945
0,90,2,Carbono/acido sulfurico,3.76,5,1361
0,90,3,Carbono/metano,2.8,4,442
0,90,4,Silicio/agua,3.76,5,1158
0,90,5,Silicio/acido sulfurico,3.74,5,1908
0,95,0,Carbono/agua,2.82,4,1525
0,95,1,Carbono/amonia,2.82,4,1060
0,95,2,Carbono/acido sulfurico,3.76,5,1577
0,95,3,Carbono/metano,2.82,4,517
0,95,4,Silicio/agua,3.76,5,1334
0,95,5,Silicio/acido sulfurico,3.74,5,2145
0,100,0,Carbono/agua,2.82,4,1712
0,100,1,Carbono/amonia,2.82,4,1191
0,100,2,Carbono/acido sulfurico,3.76,5,1817
0,100,3,Carbono/metano,2.82,4,601
0,100,4,Silicio/agua,3.76,5,1528
0,100,5,Silicio/acido sulfurico,5.72,6,2408
0,105,0,Carbono/agua,2.82,4,1917
0,105,1,Carbono/amonia,2.82,4,1334
0,105,2,Carbono/acido sulfurico,4.68,6,2080
0,105,3,Carbono/metano,2.82,4,691
0,105,4,Silicio/agua,3.76,5,1743
0,105,5,Silicio/acido sulfurico,5.76,6,2696
0,110,0,Carbono/agua,3.76,5,2144
0,110,1,Carbono/amonia,2.82,4,1491
0,110,2,Carbono/acido sulfurico,4.68,6,2372
0,110,3,Carbono/metano,3.74,5,793
0,110,4,Silicio/agua,4.68,6,1981
0,110,5,Silicio/acido sulfurico,6.72,7,3017
0,115,0,Carbono/agua,3.76,5,2394
0,115,1,Carbono/amonia,2.82,4,1663
0,115,2,Carbono/acido sulfurico,4.7,6,2694
0,115,3,Carbono/metano,3.76,5,905
0,115,4,Silicio/agua,4.7,6,2242
0,115,5,Silicio/acido sulfurico,6.72,7,3370
0,120,0,Carbono/agua,3.76,5,2672
0,120,1,Carbono/amonia,2.82,4,1856
0,120,2,Carbono/acido sulfurico,4.7,6,3050
0,120,3,Carbono/metano,3.76,5,1030
0,120,4,Silicio/agua,4.7,6,2530
0,120,5,Silicio/acido sulfurico,6.72,7,3759
0,125,0,Carbono/agua,3.76,5,2979
0,125,1,Carbono/amonia,2.82,4,2067
0,125,2,Carbono/acido sulfurico,4.7,6,3442
0,125,3,Carbono/metano,4.68,6,1165
0,125,4,Silicio/agua,4.7,6,2848
0,125,5,Silicio/acido sulfurico,6.72,7,4188
0,130,0,Carbono/agua,3.76,5,3317
0,130,1,Carbono/amonia,3.74,5,2301
0,130,2,Carbono/acido sulfurico,4.7,6,3876
0,130,3,Carbono/metano,4.7,6,1316
0,130,4,Silicio/agua,4.7,6,3200
0,130,5,Silicio/acido sulfurico,6.72,7,4664
0,135,0,Carbono/agua,4.68,6,3692
0,135,1,Carbono/amonia,3.76,5,2560
0,135,2,Carbono/acido sulfurico,4.7,6,4353
0,135,3,Carbono/metano,4.7,6,1482
0,135,4,Silicio/agua,4.7,6,3588
0,135,5,Silicio/acido sulfurico,6.72,7,5189
0,140,0,Carbono/agua,4.7,6,4102
0,140,1,Carbono/amonia,4.68,6,2844
0,140,2,Carbono/acido sulfurico,4.7,6,4880
0,140,3,Carbono/metano,4.7,6,1665
0,140,4,Silicio/agua,4.7,6,4016
0,140,5,Silicio/acido sulfurico,6.72,7,5768
0,145,0,Carbono/agua,4.7,6,4558
0,145,1,Carbono/amonia,4.7,6,3158
0,145,2,Carbono/acido sulfurico,4.7,6,5463
0,145,3,Carbono/metano,4.7,6,1824
0,145,4,Silicio/agua,4.7,6,4489
0,145,5,Silicio/acido sulfurico,6.72,7,6407
0,150,0,Carbono/agua,4.7,6,5063
0,150,1,Carbono/amonia,4.7,6,3506
0,150,2,Carbono/acido sulfurico,4.7,6,6106
0,150,3,Carbono/metano,4.7,6,1935
0,150,4,Silicio/agua,4.7,6,5012
0,150,5,Silicio/acido sulfurico,6.72,7,7112
0,155,0,Carbono/agua,4.7,6,5618
0,155,1,Carbono/amonia,4.7,6,3891
0,155,2,Carbono/acido sulfurico,4.7,6,6817
0,155,3,Carbono/metano,4.7,6,2059
0,155,4,Silicio/agua,4.7,6,5589
0,155,5,Silicio/acido sulfurico,6.72,7,7890
0,160,0,Carbono/agua,4.7,6,6231
0,160,1,Carbono/amonia,4.7,6,4315
0,160,2,Carbono/acido sulfurico,4.7,6,7602
0,160,3,Carbono/metano,4.7,6,2195
0,160,4,Silicio/agua,4.7,6,6224
0,160,5,Silicio/acido sulfurico,6.72,7,8750
0,165,0,Carbono/agua,4.7,6,6908
0,165,1,Carbono/amonia,6.7,8,4783
0,165,2,Carbono/acido sulfurico,4.7,6,8469
0,165,3,Carbono/metano,4.7,6,2346
0,165,4,Silicio/agua,6.68,8,6927
0,165,5,Silicio/acido sulfurico,6.72,7,9700
0,170,0,Carbono/agua,4.7,6,7654
0,170,1,Carbono/amonia,6.72,8,5299
0,170,2,Carbono/acido sulfurico,4.7,6,9426
0,170,3,Carbono/metano,4.7,6,2614
0,170,4,Silicio/agua,6.72,8,7702
0,170,5,Silicio/acido sulfurico,6.72,7,10749
0,175,0,Carbono/agua,4.7,6,8478
0,175,1,Carbono/amonia,6.72,8,5853
0,175,2,Carbono/acido sulfurico,4.7,6,10453
0,175,3,Carbono/metano,4.7,6,2969
0,175,4,Silicio/agua,6.72,8,8559
0,175,5,Silicio/acido sulfurico,6.72,7,11875
0,180,0,Carbono/agua,5.76,7,9389
0,180,1,Carbono/amonia,6.72,8,6409
0,180,2,Carbono/acido sulfurico,4.7,6,11483
0,180,3,Carbono/metano,4.7,6,3327
0,180,4,Silicio/agua,6.72,8,9504
0,180,5,Silicio/acido sulfurico,6.72,7,13005
0,185,0,Carbono/agua,6.72,8,10394
0,185,1,Carbono/amonia,6.72,8,6965
0,185,2,Carbono/acido sulfurico,4.7,6,12513
0,185,3,Carbono/metano,4.7,6,3684
0,185,4,Silicio/agua,6.72,8,10546
0,185,5,Silicio/acido sulfurico,6.72,7,14135
0,190,0,Carbono/agua,6.72,8,11504
0,190,1,Carbono/amonia,6.72,8,7522
0,190,2,Carbono/acido sulfurico,4.7,6,13543
0,190,3,Carbono/metano,4.7,6,4040
0,190,4,Silicio/agua,6.72,8,11698
0,190,5,Silicio/acido sulfurico,6.72,7,15264
0,195,0,Carbono/agua,6.72,8,12730
0,195,1,Carbono/amonia,6.72,8,8077
0,195,2,Carbono/acido sulfurico,4.7,6,14572
0,195,3,Carbono/metano,4.7,6,4396
0,195,4,Silicio/agua,6.72,8,12969
0,195,5,Silicio/acido sulfurico,6.72,7,16391
0,200,0,Carbono/agua,6.72,8,14082
0,200,1,Carbono/amonia,6.72,8,8632
0,200,2,Carbono/acido sulfurico,4.7,6,15602
0,200,3,Carbono/metano,4.7,6,4753
0,200,4,Silicio/agua,6.72,8,14373
0,200,5,Silicio/acido sulfurico,6.72,7,17521
0,205,0,Carbono/agua,6.72,8,15575
0,205,1,Carbono/amonia,6.72,8,9188
0,205,2,Carbono/acido sulfurico,4.7,6,16631
0,205,3,Carbono/metano,4.7,6,5108
0,205,4,Silicio/agua,6.72,8,15925
0,205,5,Silicio/acido sulfurico,6.72,7,18650
0,210,0,Carbono/agua,6.72,8,17224
0,210,1,Carbono/amonia,6.72,8,9744
0,210,2,Carbono/acido sulfurico,4.7,6,17660
